dataset,pruner,retention,ts_ece_mean,adaptive_ece_mean,adaptive_minus_ts_mean,paired_pooled_delta,ci_low,ci_high,family_holm_p,family_holm_reject
POPE,fastv,0.25,0.0567018295062591,0.0534741223776427,-0.0032277071286163986,0.0040498287099441,-0.0181565630703234,0.0225268188863373,1.0,False
POPE,fastv,0.5,0.0520055853915756,0.0469049594654178,-0.005100625926157801,-0.0063998788686627,-0.0226884143513361,0.0104050076493634,1.0,False
POPE,fastv,0.75,0.0468764160588138,0.0513486443751773,0.0044722283163635,0.0024827416260782,-0.0094822412911529,0.015891075900648,1.0,False
ScienceQA,fastv,0.25,0.0844855655060827,0.1033741413146073,0.0188885758085246,0.0195465633045386,-0.0260721387512739,0.0453784448531338,1.0,False
ScienceQA,fastv,0.5,0.1032310981241542,0.1095859856562645,0.006354887532110304,0.0003161729489655,-0.0333743328456651,0.0227516988080366,1.0,False
ScienceQA,fastv,0.75,0.0891055616780401,0.1267819085158034,0.0376763468377633,0.0172848245438219,-0.0095268258339499,0.0435766097621234,1.0,False
MMBench-CN,fastv,0.25,0.0571906469515734,0.0511014081664409,-0.0060892387851325044,-0.0309124101641942,-0.0600743804320092,0.0073231418734189,1.0,False
MMBench-CN,fastv,0.5,0.0506642795479603,0.0548505009518206,0.004186221403860296,-0.0164191473656745,-0.0419718092369297,0.0067628769688899,1.0,False
MMBench-CN,fastv,0.75,0.074542567872777,0.0687054818308057,-0.005837086041971293,0.021681293689826,-0.0265451851311849,0.042976008105794,1.0,False
MMBench-CN,visionzip,0.25,0.0595721969006723,0.0473162037206427,-0.012255993180029602,0.0111304319917484,-0.0386136198072402,0.0375313177689742,1.0,False
MMBench-CN,visionzip,0.5,0.0596337278946212,0.0496618900032398,-0.009971837891381403,0.0104735870562229,-0.0402460256961386,0.0314435690280316,1.0,False
MMBench-CN,visionzip,0.75,0.0702950197115779,0.0523652507311857,-0.017929768980392197,0.0137916539439895,-0.0300783444419655,0.0370352776702294,1.0,False
A-OKVQA,fastv,0.5,0.0510426241723788,0.1389614098182672,0.08791878564588841,0.0879187856458884,0.0659310502985173,0.1035386873639456,1.0,False
