family_dataset,family_metric,family_pruner,family_retention,comparison,estimate,ci_low,ci_high,n_samples,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_p,wilcoxon_holm_p,family_holm_p,family_holm_reject
POPE,aurc,fastv,0.25,AdaptiveCalibPrune - temperature scaling (fastv r=0.25),0.004793330799864,-0.0043204644519704,0.0143604763034106,1536,0.0018765833528805,-4.7270982790614813e-07,0.0056220376561373,0.5,1.0,1.0,False
POPE,aurc,fastv,0.5,AdaptiveCalibPrune - temperature scaling (fastv r=0.5),-0.0018337755641732,-0.0084226513661855,0.0051509245766,1536,0.001258370370916,-4.493685021057792e-05,0.0038249280576386,1.0,1.0,1.0,False
POPE,aurc,fastv,0.75,AdaptiveCalibPrune - temperature scaling (fastv r=0.75),-0.000250382791646,-0.0058234991739854,0.0057346121951873,1536,0.0010070515493007,-1.8095080509893117e-05,0.0030056499370402,0.5,1.0,1.0,False
ScienceQA,aurc,fastv,0.25,AdaptiveCalibPrune - temperature scaling (fastv r=0.25),0.0188153322453884,0.0078012377780809,0.0304438816650491,768,0.015396540264365,-0.0018569270294325,0.0280140965736088,0.5,1.0,1.0,False
ScienceQA,aurc,fastv,0.5,AdaptiveCalibPrune - temperature scaling (fastv r=0.5),0.0165194758689826,0.0055725189253678,0.0272312052101958,768,0.0152338103049063,-0.0031312019097173,0.0293982526526085,0.5,1.0,1.0,False
ScienceQA,aurc,fastv,0.75,AdaptiveCalibPrune - temperature scaling (fastv r=0.75),0.0197606575030917,0.0102406744597198,0.0292928149080978,768,0.0097852974082896,-0.0047723423070515,0.0212103722758504,0.75,1.0,1.0,False
MMBench-CN-fastv,aurc,fastv,0.25,AdaptiveCalibPrune - temperature scaling (fastv r=0.25),0.0494115111122904,0.0193057147589859,0.0798064390772126,768,0.0542218753023446,0.0190888204986549,0.0718035149525473,0.25,1.0,1.0,False
MMBench-CN-fastv,aurc,fastv,0.5,AdaptiveCalibPrune - temperature scaling (fastv r=0.5),0.0625250733979875,0.0331220910395747,0.0924242107211831,768,0.0689732966909418,0.0222317627588318,0.0949947108249767,0.25,1.0,1.0,False
MMBench-CN-fastv,aurc,fastv,0.75,AdaptiveCalibPrune - temperature scaling (fastv r=0.75),0.0268041294630039,-0.0004120440609859,0.0546493372243043,768,0.0246653851393515,0.0191210756556814,0.0335914831939749,0.25,1.0,1.0,False
MMBench-CN-visionzip,aurc,visionzip,0.25,AdaptiveCalibPrune - temperature scaling (visionzip r=0.25),0.0999631655575598,0.0633380804640356,0.1333707671072612,768,0.0933261909579055,0.0891397846468773,0.0954342715869813,0.25,1.0,1.0,False
MMBench-CN-visionzip,aurc,visionzip,0.5,AdaptiveCalibPrune - temperature scaling (visionzip r=0.5),0.0835513060630257,0.0465505743369762,0.1187296854052541,768,0.0761594006766075,0.0598625511002264,0.0863010846896722,0.25,1.0,1.0,False
MMBench-CN-visionzip,aurc,visionzip,0.75,AdaptiveCalibPrune - temperature scaling (visionzip r=0.75),0.049398985318609,0.0188845008614251,0.0818900792787779,768,0.0441401845335481,0.0223038825991015,0.0571963872604364,0.25,1.0,1.0,False
A-OKVQA,aurc,fastv,0.5,AdaptiveCalibPrune - temperature scaling (fastv r=0.5),0.0023031893093961,0.0009827561729667,0.0036170232575414,1145,0.0023031893093961,,,1.0,1.0,1.0,False
