family_dataset,family_metric,family_pruner,family_retention,comparison,estimate,ci_low,ci_high,n_samples,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_p,wilcoxon_holm_p,family_holm_p,family_holm_reject
POPE,ece,fastv,0.25,AdaptiveCalibPrune - temperature scaling (fastv r=0.25),0.0040498287099441,-0.0181565630703234,0.0225268188863373,1536,-0.0032277071286164,-0.0135750084518862,0.0089448235664173,0.75,1.0,1.0,False
POPE,ece,fastv,0.5,AdaptiveCalibPrune - temperature scaling (fastv r=0.5),-0.0063998788686627,-0.0226884143513361,0.0104050076493634,1536,-0.0051006259261578,-0.0167527890581969,0.0007255995178173,1.0,1.0,1.0,False
POPE,ece,fastv,0.75,AdaptiveCalibPrune - temperature scaling (fastv r=0.75),0.0024827416260782,-0.0094822412911529,0.015891075900648,1536,0.0044722283163634,0.0024574572237868,0.0057464863892095,0.25,1.0,1.0,False
ScienceQA,ece,fastv,0.25,AdaptiveCalibPrune - temperature scaling (fastv r=0.25),0.0195465633045386,-0.0260721387512739,0.0453784448531338,768,0.0188885758085246,-0.0247563402668928,0.0491037191023824,0.75,1.0,1.0,False
ScienceQA,ece,fastv,0.5,AdaptiveCalibPrune - temperature scaling (fastv r=0.5),0.0003161729489655,-0.0333743328456651,0.0227516988080366,768,0.0063548875321103,-0.0193762822638614,0.027511589705941,1.0,1.0,1.0,False
ScienceQA,ece,fastv,0.75,AdaptiveCalibPrune - temperature scaling (fastv r=0.75),0.0172848245438219,-0.0095268258339499,0.0435766097621234,768,0.0376763468377632,0.0034658666777494,0.0562760122677356,0.25,1.0,1.0,False
MMBench-CN-fastv,ece,fastv,0.25,AdaptiveCalibPrune - temperature scaling (fastv r=0.25),-0.0309124101641942,-0.0600743804320092,0.0073231418734189,768,-0.0060892387851324,-0.0431204892995316,0.0128420266042822,1.0,1.0,1.0,False
MMBench-CN-fastv,ece,fastv,0.5,AdaptiveCalibPrune - temperature scaling (fastv r=0.5),-0.0164191473656745,-0.0419718092369297,0.0067628769688899,768,0.0041862214038603,-0.0033659321140661,0.0100628464972819,0.75,1.0,1.0,False
MMBench-CN-fastv,ece,fastv,0.75,AdaptiveCalibPrune - temperature scaling (fastv r=0.75),0.021681293689826,-0.0265451851311849,0.042976008105794,768,-0.0058370860419712,-0.0333677705398641,0.011359558650609,0.75,1.0,1.0,False
MMBench-CN-visionzip,ece,visionzip,0.25,AdaptiveCalibPrune - temperature scaling (visionzip r=0.25),0.0111304319917484,-0.0386136198072402,0.0375313177689742,768,-0.0122559931800296,-0.0310414356766574,0.0047997221970748,0.5,1.0,1.0,False
MMBench-CN-visionzip,ece,visionzip,0.5,AdaptiveCalibPrune - temperature scaling (visionzip r=0.5),0.0104735870562229,-0.0402460256961386,0.0314435690280316,768,-0.0099718378913814,-0.0202900593551813,-0.0025897761460627,0.5,1.0,1.0,False
MMBench-CN-visionzip,ece,visionzip,0.75,AdaptiveCalibPrune - temperature scaling (visionzip r=0.75),0.0137916539439895,-0.0300783444419655,0.0370352776702294,768,-0.0179297689803922,-0.0449056768134506,0.0220712661003703,0.5,1.0,1.0,False
A-OKVQA,ece,fastv,0.5,AdaptiveCalibPrune - temperature scaling (fastv r=0.5),0.0879187856458884,0.0659310502985173,0.1035386873639456,1145,0.0879187856458884,,,1.0,1.0,1.0,False
