model,dataset,pruner,retention,metric,estimate,ci_low,ci_high,n_samples,n_seeds,seeds,n_resamples,confidence,seed_delta_mean,seed_delta_std,seed_delta_min,seed_delta_max,one_minus_retention,interpretation
llava15_7b_4bit,pope,fastv,0.25,max_softmax_mean_shift,0.014393231148245816,0.009798308153076857,0.018935817294737648,1536,3,"20260616,20260617,20260618",1000,0.95,0.014393231148245816,0.007366440637009163,0.006674619313025737,0.02134797260249369,0.75,positive means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.25,max_softmax_median_shift,0.0048427708732241,0.0034043505445147102,0.006053314903870994,1536,3,"20260616,20260617,20260618",1000,0.95,0.004601864391975889,0.0013841562114553416,0.0032277765893363175,0.005995873957729436,0.75,positive means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.25,max_softmax_q95_shift,-0.0005106129614991239,-0.0013823362130337413,0.001602748609915844,1536,3,"20260616,20260617,20260618",1000,0.95,0.00011440969285370084,0.0007335142025178306,-0.0006546020458603197,0.0008063383892509268,0.75,positive means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.25,entropy_mean_shift,-0.02643431772770602,-0.032792681516030986,-0.02031563976406495,1536,3,"20260616,20260617,20260618",1000,0.95,-0.02643431772770602,0.008860172157478014,-0.03384292458666862,-0.01661960850424116,0.75,negative means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.25,margin_mean_shift,0.028786462296491632,0.019596616306153714,0.03787163458947529,1536,3,"20260616,20260617,20260618",1000,0.95,0.028786462296491632,0.014732881274018329,0.013349238626051474,0.04269594520498739,0.75,positive means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.25,logit_l2_mean_shift,0.10881773030196722,0.08417827205999782,0.13359126612037092,1536,3,"20260616,20260617,20260618",1000,0.95,0.10881773030196722,0.03539012667349129,0.06972323646363242,0.13866917440524662,0.75,positive means pruned logits have larger scale
llava15_7b_4bit,pope,fastv,0.25,logit_l2_ratio_mean_minus_1,454.9173128146529,37.96830910935626,1078.3718905444484,1536,3,"20260616,20260617,20260618",1000,0.95,454.9173128146529,576.5374845931134,0.7046951914195205,1103.5252759941288,0.75,positive means pruned logits have larger scale
llava15_7b_4bit,pope,fastv,0.25,alpha_pooled_minus_1,-0.04436059207331966,-0.06371719492820933,-0.026605165082248704,1536,3,"20260616,20260617,20260618",1000,0.95,-0.04414285372345957,0.012686086485604394,-0.054400328910878204,-0.02995735388240972,0.75,positive means pruned logits have larger scale
llava15_7b_4bit,pope,fastv,0.25,scale_residual_rel_norm,0.42352146313436384,0.38516768171587806,0.4570323436160117,1536,3,"20260616,20260617,20260618",1000,0.95,0.42283969289647194,0.021208596808198893,0.407210132410796,0.4469821247720828,0.75,smaller means scalar-scale model explains pruning better
llava15_7b_4bit,pope,fastv,0.5,max_softmax_mean_shift,0.008117722538995857,0.004657907063374804,0.011439586682649331,1536,3,"20260616,20260617,20260618",1000,0.95,0.008117722538995857,0.002143339955588718,0.005670635800403785,0.009661782734025206,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.5,max_softmax_median_shift,0.0036571457120443407,0.002690282706814372,0.004468355328012541,1536,3,"20260616,20260617,20260618",1000,0.95,0.003577964083436617,0.0012419751611034114,0.002288332496130585,0.004766047838196064,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.5,max_softmax_q95_shift,0.00098381356475008,-2.222130222241239e-06,0.002528715591417882,1536,3,"20260616,20260617,20260618",1000,0.95,0.001196355051383972,0.0010368563735936817,-2.7978491412561368e-08,0.0018341934304030305,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.5,entropy_mean_shift,-0.01851043711661972,-0.022726775616208058,-0.014189371960088267,1536,3,"20260616,20260617,20260618",1000,0.95,-0.018510437116619722,0.0033601247467730526,-0.020484865661274155,-0.014630704520164375,0.5,negative means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.5,margin_mean_shift,0.016235445077991715,0.009315814126749604,0.02287917336529866,1536,3,"20260616,20260617,20260618",1000,0.95,0.016235445077991715,0.0042866799111774346,0.01134127160080757,0.019323565468050405,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.5,logit_l2_mean_shift,0.08166323230282287,0.06451304704588573,0.09860351620039627,1536,3,"20260616,20260617,20260618",1000,0.95,0.08166323230282287,0.01328373587340302,0.06633474047883389,0.08981290849380863,0.5,positive means pruned logits have larger scale
llava15_7b_4bit,pope,fastv,0.5,logit_l2_ratio_mean_minus_1,370.0747327758829,24.256583314617647,989.5685232248786,1536,3,"20260616,20260617,20260618",1000,0.95,370.0747327758829,579.2646078802921,0.2943637403147714,1037.659794985204,0.5,positive means pruned logits have larger scale
llava15_7b_4bit,pope,fastv,0.5,alpha_pooled_minus_1,0.009969944461125868,-0.0004546799560540753,0.020074262616151587,1536,3,"20260616,20260617,20260618",1000,0.95,0.010050341982110153,0.004567204797941736,0.004996021178106602,0.013881243376028918,0.5,positive means pruned logits have larger scale
llava15_7b_4bit,pope,fastv,0.5,scale_residual_rel_norm,0.26666924185108737,0.23593757007371366,0.29778151044122486,1536,3,"20260616,20260617,20260618",1000,0.95,0.26656588391935204,0.009688773480741453,0.25580881852255066,0.2746064627476728,0.5,smaller means scalar-scale model explains pruning better
llava15_7b_4bit,pope,fastv,0.75,max_softmax_mean_shift,0.0011825366748056917,-0.0010659225342560211,0.0032813471238680634,1536,3,"20260616,20260617,20260618",1000,0.95,0.0011825366748056917,0.0009885495605105054,0.0005762733679905217,0.002323262403940096,0.25,positive means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.75,max_softmax_median_shift,0.001155929526593935,0.0005754469156196929,0.0017408037081435568,1536,3,"20260616,20260617,20260618",1000,0.95,0.0011687265734627676,0.000622927182659939,0.0004785012583052306,0.0016891390759741776,0.25,positive means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.75,max_softmax_q95_shift,0.0006607802950320263,-0.0007123286307701285,0.0020925277583088127,1536,3,"20260616,20260617,20260618",1000,0.95,0.001052696917447138,0.0006602753399935419,0.0003743048355120404,0.00169322609960465,0.25,positive means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.75,entropy_mean_shift,-0.005987603727053803,-0.008770051403065832,-0.0032101277696095594,1536,3,"20260616,20260617,20260618",1000,0.95,-0.005987603727053803,0.0006904269958765546,-0.006592045047097022,-0.005235185938428031,0.25,negative means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.75,margin_mean_shift,0.0023650733496113838,-0.002131845068512042,0.006562694247736124,1536,3,"20260616,20260617,20260618",1000,0.95,0.0023650733496113838,0.001977099121021012,0.0011525467359810452,0.004646524807880194,0.25,positive means pruning sharpens confidence
llava15_7b_4bit,pope,fastv,0.75,logit_l2_mean_shift,0.0291032409556832,0.017613369397564645,0.040003333552614845,1536,3,"20260616,20260617,20260618",1000,0.95,0.029103240955683205,0.004630235047826099,0.024147272942687478,0.03331842454447999,0.25,positive means pruned logits have larger scale
llava15_7b_4bit,pope,fastv,0.75,logit_l2_ratio_mean_minus_1,92.55155505759018,21.414616891428196,192.11322864954644,1536,3,"20260616,20260617,20260618",1000,0.95,92.55155505759016,109.48162032809262,0.10713190389101479,213.45138483761679,0.25,positive means pruned logits have larger scale
llava15_7b_4bit,pope,fastv,0.75,alpha_pooled_minus_1,0.011279103137243895,0.006176099829874066,0.016492240667727635,1536,3,"20260616,20260617,20260618",1000,0.95,0.011253603079924254,0.003721539643323115,0.007770895143720091,0.015175075482917189,0.25,positive means pruned logits have larger scale
llava15_7b_4bit,pope,fastv,0.75,scale_residual_rel_norm,0.13925520170539976,0.11945769929113341,0.158948343915486,1536,3,"20260616,20260617,20260618",1000,0.95,0.13900820714136963,0.012498870257617123,0.12457605434121907,0.14630479367481738,0.25,smaller means scalar-scale model explains pruning better
