model,dataset,pruner,retention,metric,estimate,ci_low,ci_high,n_samples,n_seeds,seeds,n_resamples,confidence,seed_delta_mean,seed_delta_std,seed_delta_min,seed_delta_max,one_minus_retention,interpretation
llava15_7b_4bit,pope,sparsevlm,0.5,max_softmax_mean_shift,0.0008900871419337879,0.00013016586895182972,0.0015731769320555533,2115,3,"20260616,20260617,20260618",1000,0.95,0.000890087141933788,0.000646000500324745,0.00021920227586156934,0.0015079331315627045,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,pope,sparsevlm,0.5,max_softmax_median_shift,0.0,0.0,0.0003533988984548708,2115,3,"20260616,20260617,20260618",1000,0.95,0.00011779963281829027,0.0002040349491542369,0.0,0.0003533988984548708,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,pope,sparsevlm,0.5,max_softmax_q95_shift,-0.0005780419700258665,-0.0007227840859456158,0.000451766410458631,2115,3,"20260616,20260617,20260618",1000,0.95,-0.00027102321038448746,0.0004947476051065427,-0.0006809463181693953,0.0002785359015907707,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,pope,sparsevlm,0.5,entropy_mean_shift,-0.0021517093696585333,-0.0030580877557895695,-0.0011634138518127014,2115,3,"20260616,20260617,20260618",1000,0.95,-0.0021517093696585333,0.0009668109818645676,-0.0031468339067179866,-0.0012159475558750652,0.5,negative means pruning sharpens confidence
llava15_7b_4bit,pope,sparsevlm,0.5,margin_mean_shift,0.0017801742838675777,0.00026033173790366144,0.0031463538641111123,2115,3,"20260616,20260617,20260618",1000,0.95,0.0017801742838675777,0.001292001000649487,0.00043840455172314323,0.003015866263125407,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,pope,sparsevlm,0.5,logit_l2_mean_shift,0.008640326655456186,0.004832888878654953,0.012339499154183467,2115,3,"20260616,20260617,20260618",1000,0.95,0.008640326655456188,0.0039017899420305986,0.00460747769656128,0.012396309040748208,0.5,positive means pruned logits have larger scale
llava15_7b_4bit,pope,sparsevlm,0.5,logit_l2_ratio_mean_minus_1,47015078.570184365,0.023278202565713252,141045235.6513293,2115,3,"20260616,20260617,20260618",1000,0.95,47015078.57018436,81432504.74462704,0.03376861862603597,141045235.64037615,0.5,positive means pruned logits have larger scale
llava15_7b_4bit,pope,sparsevlm,0.5,alpha_pooled_minus_1,0.0037604175941532425,0.0019383512825584595,0.005609073812695547,2115,3,"20260616,20260617,20260618",1000,0.95,0.0037776129051457405,0.0017358462513141256,0.0019698309078457488,0.005431240788229097,0.5,positive means pruned logits have larger scale
llava15_7b_4bit,pope,sparsevlm,0.5,scale_residual_rel_norm,0.05036990354868491,0.046580524141024385,0.05419115857380656,2115,3,"20260616,20260617,20260618",1000,0.95,0.05033850899764197,0.0024274464719866206,0.047544071533827524,0.051925031242414106,0.5,smaller means scalar-scale model explains pruning better
llava15_7b_4bit,pope,vtw,0.5,max_softmax_mean_shift,0.0010086863967994728,0.00017154315665998432,0.001741654704786284,2115,3,"20260616,20260617,20260618",1000,0.95,0.0010086863967994728,0.0005772726036338908,0.00042791660056943953,0.0015823970645621609,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,pope,vtw,0.5,max_softmax_median_shift,0.0,0.0,0.0,2115,3,"20260616,20260617,20260618",1000,0.95,0.0,0.0,0.0,0.0,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,pope,vtw,0.5,max_softmax_q95_shift,-0.0006809463181693953,-0.000927276506138772,0.0003279809691965063,2115,3,"20260616,20260617,20260618",1000,0.95,-0.0003874284374784098,0.00030579578765898614,-0.0006809463181693953,-7.067977969099637e-05,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,pope,vtw,0.5,entropy_mean_shift,-0.002314048578077324,-0.003277221146699188,-0.0012775143502779072,2115,3,"20260616,20260617,20260618",1000,0.95,-0.002314048578077324,0.000829358776122041,-0.0030605626696308535,-0.0014212980165906363,0.5,negative means pruning sharpens confidence
llava15_7b_4bit,pope,vtw,0.5,margin_mean_shift,0.0020173727935989473,0.0003430863133199695,0.003483309409572567,2115,3,"20260616,20260617,20260618",1000,0.95,0.002017372793598947,0.0011545452072677831,0.0008558332011388796,0.0031647941291243252,0.5,positive means pruning sharpens confidence
llava15_7b_4bit,pope,vtw,0.5,logit_l2_mean_shift,0.009241074881198307,0.00503048280594796,0.013221815461382104,2115,3,"20260616,20260617,20260618",1000,0.95,0.009241074881198305,0.0034406891430963237,0.005469420803060835,0.01220824872660285,0.5,positive means pruned logits have larger scale
llava15_7b_4bit,pope,vtw,0.5,logit_l2_ratio_mean_minus_1,52238976.192106746,0.028001445979327005,156716928.5064612,2115,3,"20260616,20260617,20260618",1000,0.95,52238976.19210675,90480560.8260482,0.03753116101717957,156716928.49080122,0.5,positive means pruned logits have larger scale
llava15_7b_4bit,pope,vtw,0.5,alpha_pooled_minus_1,0.003748731497590363,0.0017957308329604967,0.005785650857924185,2115,3,"20260616,20260617,20260618",1000,0.95,0.0037673414487716292,0.0014762893143119374,0.0021022983567471343,0.004916333792532646,0.5,positive means pruned logits have larger scale
llava15_7b_4bit,pope,vtw,0.5,scale_residual_rel_norm,0.0540706592412685,0.04979832063068537,0.05835398622385778,2115,3,"20260616,20260617,20260618",1000,0.95,0.053979699686654614,0.004752120809488487,0.048552149006068475,0.057392704885595926,0.5,smaller means scalar-scale model explains pruning better
