comparison,metric,estimate,ci_low,ci_high,n_samples,n_resamples,confidence,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_statistic,wilcoxon_p,wilcoxon_n,interpretation,wilcoxon_holm_p,wilcoxon_holm_reject
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),accuracy,0.0,0.0,0.0,768,1000,0.95,0.0,0.0,0.0,0.0,1.0,0,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),ece,-0.030912410164194243,-0.06007438043200927,0.007323141873418948,768,1000,0.95,-0.006089238785132479,-0.04312048929953163,0.012842026604282221,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),adaptive_ece,-0.005646591796006309,-0.03175346324088327,0.03549508002740116,768,1000,0.95,0.00980026839949479,-0.006093756609238235,0.02117745746352176,1.0,0.5,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),aurc,0.04941151111229042,0.019305714758985966,0.07980643907721266,768,1000,0.95,0.05422187530234466,0.019088820498654957,0.07180351495254737,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),max_softmax_mean,-0.023497434707595466,-0.029535412614944388,-0.017627483839614246,768,1000,0.95,-0.023497434707595483,-0.03661055611044439,-0.016332555212854705,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),accuracy,0.0,0.0,0.0,768,1000,0.95,0.0,0.0,0.0,0.0,1.0,0,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),ece,-0.0164191473656745,-0.04197180923692971,0.006762876968889919,768,1000,0.95,0.00418622140386032,-0.0033659321140661336,0.010062846497281931,2.0,0.75,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),adaptive_ece,0.011261096020457696,-0.02972979356741137,0.034474748809612016,768,1000,0.95,0.03596646364565285,0.02923719400957893,0.03965438637215592,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),aurc,0.06252507339798752,0.03312209103957474,0.09242421072118312,768,1000,0.95,0.06897329669094182,0.022231762758831874,0.09499471082497675,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),max_softmax_mean,0.002941119380848012,-0.0027798906757333813,0.008464838115431892,768,1000,0.95,0.0029411193808480673,-0.01077500092941891,0.010061530723168066,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),accuracy,0.0,0.0,0.0,768,1000,0.95,0.0,0.0,0.0,0.0,1.0,0,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),ece,0.021681293689826013,-0.026545185131184992,0.04297600810579403,768,1000,0.95,-0.005837086041971265,-0.03336777053986412,0.01135955865060905,2.0,0.75,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),adaptive_ece,0.008635646545034424,-0.02639035810226188,0.04271871744284478,768,1000,0.95,-0.002009326012831797,-0.02246013190130737,0.013771550655525553,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),aurc,0.026804129463003923,-0.0004120440609859312,0.054649337224304345,768,1000,0.95,0.024665385139351587,0.019121075655681496,0.03359148319397498,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),max_softmax_mean,0.042525635705703724,0.0374732717736976,0.04745490856149747,768,1000,0.95,0.0425256357057037,0.029954294343984333,0.04898858238788464,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
