path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,pruner_evidence_type,sanity_only,paper_eligible_summary,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-cal-fastv-r0.25-n128-seed20260616.json,llava15_7b_4bit-mmbench_cn-cal-fastv-r0.25-n128-seed20260616,llava15_7b_4bit,mmbench_cn,cal,fastv,0.25,none,20260616,128,67c38b8ba313c3c2,False,0.3671875,0.2666581882618162,0.27906404730536644,0.5220822968790331,0.6338456882618162,literature-hook,False,False,0.015625,-0.029437246221095337,-0.018288242728124626,-0.006959838313367106,-0.011383489444346084,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256_seed20260617\llava15_7b_4bit-mmbench_cn-cal-fastv-r0.25-n128-seed20260617.json,llava15_7b_4bit-mmbench_cn-cal-fastv-r0.25-n128-seed20260617,llava15_7b_4bit,mmbench_cn,cal,fastv,0.25,none,20260617,128,c846c4eca360fc4f,False,0.359375,0.314840256433768,0.3148402564337681,0.49887949779242136,0.674215256433768,literature-hook,False,False,-0.03125,0.044550958704943744,0.048683863495645574,0.03654996727318305,0.021212308377404288,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256_seed20260618\llava15_7b_4bit-mmbench_cn-cal-fastv-r0.25-n128-seed20260618.json,llava15_7b_4bit-mmbench_cn-cal-fastv-r0.25-n128-seed20260618,llava15_7b_4bit,mmbench_cn,cal,fastv,0.25,none,20260618,128,0feef6c2f4e55bc4,False,0.3359375,0.2947449257120438,0.2947449257120438,0.5563216920814471,0.6306824257120439,literature-hook,False,False,0.0078125,-0.024165409382239655,-0.013160991765108265,-0.03324919852332764,-0.00534849176510821,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-cal-fastv-r0.5-n128-seed20260616.json,llava15_7b_4bit-mmbench_cn-cal-fastv-r0.5-n128-seed20260616,llava15_7b_4bit,mmbench_cn,cal,fastv,0.5,none,20260616,128,67c38b8ba313c3c2,False,0.34375,0.3031562878751505,0.2979411292898759,0.5274847149250161,0.6384752034110479,literature-hook,False,False,-0.0078125,0.007060853392238942,0.0005888392563848099,-0.0015574202673840354,-0.006753974295114373,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256_seed20260617\llava15_7b_4bit-mmbench_cn-cal-fastv-r0.5-n128-seed20260617.json,llava15_7b_4bit-mmbench_cn-cal-fastv-r0.5-n128-seed20260617,llava15_7b_4bit,mmbench_cn,cal,fastv,0.5,none,20260617,128,c846c4eca360fc4f,False,0.375,0.33464917914292186,0.3071382805327459,0.49056094273860695,0.6821382805327458,literature-hook,False,False,-0.015625,0.0643598814140976,0.040981887594623345,0.028231412219368646,0.029135332476382114,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256_seed20260618\llava15_7b_4bit-mmbench_cn-cal-fastv-r0.5-n128-seed20260618.json,llava15_7b_4bit-mmbench_cn-cal-fastv-r0.5-n128-seed20260618,llava15_7b_4bit,mmbench_cn,cal,fastv,0.5,none,20260618,128,0feef6c2f4e55bc4,False,0.3203125,0.3324173362188803,0.32653091531599887,0.5363161425171853,0.6468434153159988,literature-hook,False,False,-0.0078125,0.013507001124596851,0.018624997838846802,-0.053254748087589454,0.010812497838846635,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-cal-fastv-r0.75-n128-seed20260616.json,llava15_7b_4bit-mmbench_cn-cal-fastv-r0.75-n128-seed20260616,llava15_7b_4bit,mmbench_cn,cal,fastv,0.75,none,20260616,128,67c38b8ba313c3c2,False,0.3671875,0.28647462968152254,0.2997395712288979,0.5220795771607722,0.6471854215872159,literature-hook,False,False,0.015625,-0.009620804801388994,0.0023872811954068207,-0.00696255803162793,0.001956243881053643,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256_seed20260617\llava15_7b_4bit-mmbench_cn-cal-fastv-r0.75-n128-seed20260617.json,llava15_7b_4bit-mmbench_cn-cal-fastv-r0.75-n128-seed20260617,llava15_7b_4bit,mmbench_cn,cal,fastv,0.75,none,20260617,128,c846c4eca360fc4f,False,0.3671875,0.3050940544178036,0.3050940544178035,0.4740017482754189,0.6722815544178036,literature-hook,False,False,-0.0234375,0.03480475668897931,0.038937661479680974,0.011672217756180603,0.019278606361439854,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256_seed20260618\llava15_7b_4bit-mmbench_cn-cal-fastv-r0.75-n128-seed20260618.json,llava15_7b_4bit-mmbench_cn-cal-fastv-r0.75-n128-seed20260618,llava15_7b_4bit,mmbench_cn,cal,fastv,0.75,none,20260618,128,0feef6c2f4e55bc4,False,0.3125,0.3270778061475439,0.3266237897526899,0.5658396245886246,0.6391237897526898,literature-hook,False,False,-0.015625,0.008167471053260433,0.01871787227553784,-0.023731266016150165,0.0030928722755376725,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-cal-none-r1-n128-seed20260616.json,llava15_7b_4bit-mmbench_cn-cal-none-r1-n128-seed20260616,llava15_7b_4bit,mmbench_cn,cal,none,1.0,none,20260616,128,67c38b8ba313c3c2,False,0.3515625,0.29609543448291153,0.29735229003349106,0.5290421351924002,0.6452291777061623,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
