path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,pruner_evidence_type,sanity_only,paper_eligible_summary,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-cal-fastv-r0.25-n128-seed20260616.json,llava15_7b_4bit-mmbench_cn-cal-fastv-r0.25-n128-seed20260616,llava15_7b_4bit,mmbench_cn,cal,fastv,0.25,none,20260616,128,67c38b8ba313c3c2,False,0.359375,0.27510504259526714,0.29152536035524074,0.5217907752687365,0.6344800425952671,literature-hook,False,False,0.0078125,-0.020831152234937977,-0.005584195813754134,-0.00787068834560889,-0.010607864119757449,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-cal-fastv-r0.5-n128-seed20260616.json,llava15_7b_4bit-mmbench_cn-cal-fastv-r0.5-n128-seed20260616,llava15_7b_4bit,mmbench_cn,cal,fastv,0.5,none,20260616,128,67c38b8ba313c3c2,False,0.3515625,0.29403013783742027,0.30440019816802805,0.527712269362983,0.6372948781449277,literature-hook,False,False,0.0,-0.0019060569927848436,0.007290641999033176,-0.0019491942513624183,-0.007793028570096894,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-cal-fastv-r0.75-n128-seed20260616.json,llava15_7b_4bit-mmbench_cn-cal-fastv-r0.75-n128-seed20260616,llava15_7b_4bit,mmbench_cn,cal,fastv,0.75,none,20260616,128,67c38b8ba313c3c2,False,0.359375,0.2871748790790642,0.32032765741307667,0.5228775209812498,0.6465498790790642,literature-hook,False,False,0.0078125,-0.008761315751140919,0.0232181012440818,-0.006783942633095563,0.0014619723640396654,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-cal-none-r1-n128-seed20260616.json,llava15_7b_4bit-mmbench_cn-cal-none-r1-n128-seed20260616,llava15_7b_4bit,mmbench_cn,cal,none,1.0,none,20260616,128,67c38b8ba313c3c2,False,0.3515625,0.2959361948302051,0.29710955616899487,0.5296614636143454,0.6450879067150246,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-cal-visionzip-r0.25-n128-seed20260616.json,llava15_7b_4bit-mmbench_cn-cal-visionzip-r0.25-n128-seed20260616,llava15_7b_4bit,mmbench_cn,cal,visionzip,0.25,none,20260616,128,67c38b8ba313c3c2,False,0.359375,0.2677643333041944,0.2782916638547691,0.5182445997453663,0.6271393333041944,literature-hook,False,False,0.0078125,-0.0281718615260107,-0.01881789231422576,-0.01141686386897911,-0.017948573410830226,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-cal-visionzip-r0.5-n128-seed20260616.json,llava15_7b_4bit-mmbench_cn-cal-visionzip-r0.5-n128-seed20260616,llava15_7b_4bit,mmbench_cn,cal,visionzip,0.5,none,20260616,128,67c38b8ba313c3c2,False,0.3828125,0.2587540667209697,0.2650459399265221,0.5028623556911389,0.6345424174397065,literature-hook,False,False,0.03125,-0.037182128109235435,-0.03206361624247278,-0.0267991079232065,-0.010545489275318065,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-cal-visionzip-r0.75-n128-seed20260616.json,llava15_7b_4bit-mmbench_cn-cal-visionzip-r0.75-n128-seed20260616,llava15_7b_4bit,mmbench_cn,cal,visionzip,0.75,none,20260616,128,67c38b8ba313c3c2,False,0.328125,0.30930408569962836,0.30930408569962836,0.5260869051659423,0.6374290856996284,literature-hook,False,False,-0.0234375,0.013367890869423249,0.012194529530633491,-0.0035745584484031534,-0.007658821015396167,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256_calibrated\llava_mmbench_cn_128_256_fastv_calibprune_r025.json,llava_mmbench_cn_128_256_fastv_calibprune_r025,llava15_7b_4bit,mmbench_cn,test,fastv,0.25,calibprune,20260616,256,a63edebc6f7ada65,False,0.40234375,0.0608874344261353,0.07798842483470628,0.44423269838232626,0.4083882410194651,literature-hook,False,False,,,,,,0.0,-0.19260404352968163,-0.17550305312111067,-0.0017758451869830938,-0.24744698693635175
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-test-fastv-r0.25-n256-seed20260616.json,llava15_7b_4bit-mmbench_cn-test-fastv-r0.25-n256-seed20260616,llava15_7b_4bit,mmbench_cn,test,fastv,0.25,none,20260616,256,a63edebc6f7ada65,False,0.40234375,0.25349147795581695,0.25349147795581695,0.44600854356930936,0.6558352279558168,literature-hook,False,False,-0.01171875,-0.008572262945960252,0.0015010326277316022,-0.010219933453055496,0.002133405252970011,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256_calibrated\llava_mmbench_cn_128_256_fastv_temp_r025.json,llava_mmbench_cn_128_256_fastv_temp_r025,llava15_7b_4bit,mmbench_cn,test,fastv,0.25,temperature_scaling,20260616,256,a63edebc6f7ada65,False,0.40234375,0.0624131486936067,0.07735310043519057,0.4441552235448274,0.4111709751815555,literature-hook,False,False,-0.01171875,-0.017430914004649856,-0.025632176674146245,-0.009822460036377212,0.005270357576023288,0.0,-0.19107832926221024,-0.1761383775206264,-0.0018533200244819636,-0.24466425277426135
results/raw/mmbench_cn_lite_llava_128_256_calibrated\llava_mmbench_cn_128_256_fastv_calibprune_r05.json,llava_mmbench_cn_128_256_fastv_calibprune_r05,llava15_7b_4bit,mmbench_cn,test,fastv,0.5,calibprune,20260616,256,a63edebc6f7ada65,False,0.41015625,0.08473077232506347,0.10219530177049296,0.44459306982725944,0.44783637983708163,literature-hook,False,False,,,,,,0.0,-0.17444851897745972,-0.1569839895320302,-0.0013405189123860684,-0.22149916146544163
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-test-fastv-r0.5-n256-seed20260616.json,llava15_7b_4bit-mmbench_cn-test-fastv-r0.5-n256-seed20260616,llava15_7b_4bit,mmbench_cn,test,fastv,0.5,none,20260616,256,a63edebc6f7ada65,False,0.41015625,0.2591792913025232,0.25917929130252315,0.4459335887396455,0.6693355413025233,literature-hook,False,False,-0.00390625,-0.002884449599253991,0.0071888459744378075,-0.01029488828271935,0.01563371859967644,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256_calibrated\llava_mmbench_cn_128_256_fastv_temp_r05.json,llava_mmbench_cn_128_256_fastv_temp_r05,llava15_7b_4bit,mmbench_cn,test,fastv,0.5,temperature_scaling,20260616,256,a63edebc6f7ada65,False,0.41015625,0.06822139861864135,0.08909810670338433,0.4442939343260768,0.417211937613998,literature-hook,False,False,-0.00390625,-0.011622664079615208,-0.013887170405952484,-0.009683749255127827,0.011311320008465797,0.0,-0.19095789268388186,-0.17008118459913882,-0.0016396544135687252,-0.25212360368852527
results/raw/mmbench_cn_lite_llava_128_256_calibrated\llava_mmbench_cn_128_256_fastv_calibprune_r075.json,llava_mmbench_cn_128_256_fastv_calibprune_r075,llava15_7b_4bit,mmbench_cn,test,fastv,0.75,calibprune,20260616,256,a63edebc6f7ada65,False,0.40625,0.11463459323670028,0.1338234478826787,0.45225210692345774,0.49419757756958427,literature-hook,False,False,,,,,,0.0,-0.16432523221780632,-0.12812776686420752,0.0002135407156575453,-0.17400363717730194
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-test-fastv-r0.75-n256-seed20260616.json,llava15_7b_4bit-mmbench_cn-test-fastv-r0.75-n256-seed20260616,llava15_7b_4bit,mmbench_cn,test,fastv,0.75,none,20260616,256,a63edebc6f7ada65,False,0.40625,0.2789598254545066,0.2619512147468862,0.4520385662078002,0.6682012147468862,literature-hook,False,False,-0.0078125,0.016896084552729396,0.009960769418800863,-0.004189910814564657,0.014499392044039383,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256_calibrated\llava_mmbench_cn_128_256_fastv_temp_r075.json,llava_mmbench_cn_128_256_fastv_temp_r075,llava15_7b_4bit,mmbench_cn,test,fastv,0.75,temperature_scaling,20260616,256,a63edebc6f7ada65,False,0.40625,0.06631611797880613,0.09524163745526339,0.452937509797554,0.4134074397421785,literature-hook,False,False,-0.0078125,-0.01352794471945043,-0.007743639654073431,-0.001040173783650622,0.007506822136646274,0.0,-0.21264370747570047,-0.16670957729162283,0.0008989435897537867,-0.25479377500470773
results/raw/mmbench_cn_lite_llava_128_256\llava15_7b_4bit-mmbench_cn-test-none-r1-n256-seed20260616.json,llava15_7b_4bit-mmbench_cn-test-none-r1-n256-seed20260616,llava15_7b_4bit,mmbench_cn,test,none,1.0,none,20260616,256,a63edebc6f7ada65,False,0.4140625,0.2620637409017772,0.25199044532808534,0.45622847702236485,0.6537018227028468,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/mmbench_cn_lite_llava_128_256_calibrated\llava_mmbench_cn_128_256_none_temp.json,llava_mmbench_cn_128_256_none_temp,llava15_7b_4bit,mmbench_cn,test,none,1.0,temperature_scaling,20260616,256,a63edebc6f7ada65,False,0.4140625,0.07984406269825656,0.10298527710933682,0.4539776835812046,0.4059006176055322,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.18221967820352064,-0.14900516821874854,-0.002250793441160248,-0.24780120509731463
