comparison,metric,estimate,ci_low,ci_high,n_samples,n_resamples,confidence,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_statistic,wilcoxon_p,wilcoxon_n,interpretation,wilcoxon_holm_p,wilcoxon_holm_reject
AdaptiveCalibPrune - temperature scaling (visionzip r=0.25),accuracy,0.0,0.0,0.0,768,1000,0.95,0.0,0.0,0.0,0.0,1.0,0,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.25),ece,0.011130431991748471,-0.03861361980724028,0.03753131776897422,768,1000,0.95,-0.012255993180029609,-0.031041435676657472,0.004799722197074839,1.0,0.5,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.25),adaptive_ece,0.016684846438828907,-0.0288654266079028,0.05046268299960506,768,1000,0.95,0.023725280418528935,-0.009538030122661093,0.041424874543274585,1.0,0.5,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.25),aurc,0.0999631655575598,0.06333808046403563,0.13337076710726126,768,1000,0.95,0.09332619095790555,0.08913978464687733,0.0954342715869813,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.25),max_softmax_mean,-0.025864990541943023,-0.03237124901589098,-0.020120537097265804,768,1000,0.95,-0.02586499054194295,-0.04042064161535486,-0.015969568255629157,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.5),accuracy,0.0,0.0,0.0,768,1000,0.95,0.0,0.0,0.0,0.0,1.0,0,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.5),ece,0.010473587056222963,-0.04024602569613867,0.03144356902803163,768,1000,0.95,-0.009971837891381403,-0.020290059355181397,-0.0025897761460627797,1.0,0.5,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.5),adaptive_ece,0.0026616176612369244,-0.030119546193764286,0.042724544490868155,768,1000,0.95,0.005040210030043647,-0.01648601304211164,0.03395419613997869,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.5),aurc,0.08355130606302574,0.0465505743369762,0.11872968540525415,768,1000,0.95,0.07615940067660758,0.059862551100226424,0.08630108468967225,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.5),max_softmax_mean,0.0001476876701952401,-0.006124471698990475,0.005986171400990597,768,1000,0.95,0.00014768767019522158,-0.02219396045402172,0.013213495937713335,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.75),accuracy,0.0,0.0,0.0,768,1000,0.95,0.0,0.0,0.0,0.0,1.0,0,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.75),ece,0.013791653943989526,-0.03007834444196553,0.03703527767022945,768,1000,0.95,-0.01792976898039227,-0.04490567681345061,0.022071266100370357,1.0,0.5,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.75),adaptive_ece,0.02434653965585156,-0.02439775172359383,0.04546879704712568,768,1000,0.95,0.004314841842751725,-0.04356385770896776,0.03220246829624223,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.75),aurc,0.04939898531860909,0.0188845008614251,0.08189007927877798,768,1000,0.95,0.04414018453354818,0.022303882599101543,0.05719638726043641,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (visionzip r=0.75),max_softmax_mean,0.040886423344334955,0.03543245864349876,0.04650108241092006,768,1000,0.95,0.040886423344334934,0.019268125162069938,0.052288476741868116,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
