comparison,metric,estimate,ci_low,ci_high,n_samples,n_resamples,confidence,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_statistic,wilcoxon_p,wilcoxon_n,interpretation,wilcoxon_holm_p,wilcoxon_holm_reject
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),accuracy,0.0,0.0,0.0,1536,1000,0.95,0.0,0.0,0.0,0.0,1.0,0,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),ece,0.004049828709944189,-0.018156563070323418,0.022526818886337376,1536,1000,0.95,-0.0032277071286164216,-0.013575008451886215,0.008944823566417343,2.0,0.75,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),adaptive_ece,0.028604706871787032,0.00020294445129305605,0.03834559304892646,1536,1000,0.95,0.008050745840587542,-0.005469586079422009,0.030578969975627243,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),aurc,0.004793330799864048,-0.004320464451970492,0.014360476303410608,1536,1000,0.95,0.001876583352880573,-4.7270982790614813e-07,0.005622037656137363,1.0,0.5,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),max_softmax_mean,0.024705615582723328,0.021778459969572037,0.027580646435408168,1536,1000,0.95,0.024705615582723144,0.01122263405176005,0.031805779493993956,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),accuracy,0.0,0.0,0.0,1536,1000,0.95,0.0,0.0,0.0,0.0,1.0,0,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),ece,-0.006399878868662747,-0.022688414351336183,0.010405007649363446,1536,1000,0.95,-0.005100625926157838,-0.016752789058196944,0.000725599517817308,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),adaptive_ece,0.010158242257055423,-0.01059035776509025,0.021694920107036716,1536,1000,0.95,-0.0019154898623523996,-0.012449389225421215,0.004189697208879559,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),aurc,-0.0018337755641732179,-0.008422651366185559,0.005150924576600064,1536,1000,0.95,0.0012583703709160658,-4.493685021057792e-05,0.003824928057638663,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),max_softmax_mean,-0.002189721688395818,-0.004827985255944953,0.0005837366925440394,1536,1000,0.95,-0.002189721688395818,-0.011263639179971863,0.011481367260535391,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),accuracy,0.0,0.0,0.0,1536,1000,0.95,0.0,0.0,0.0,0.0,1.0,0,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),ece,0.002482741626078276,-0.009482241291152991,0.015891075900648036,1536,1000,0.95,0.004472228316363497,0.002457457223786888,0.00574648638920959,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),adaptive_ece,0.006895260949762103,-0.008260883861957622,0.021945863852183677,1536,1000,0.95,-2.564916432609236e-05,-0.0024889307237100505,0.0012135580762515964,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),aurc,-0.00025038279164608934,-0.005823499173985441,0.005734612195187305,1536,1000,0.95,0.001007051549300741,-1.8095080509893113e-05,0.0030056499370402917,1.0,0.5,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),max_softmax_mean,-0.004010350355069581,-0.006852434567416804,-0.0011467299956416353,1536,1000,0.95,-0.004010350355069618,-0.021694478866086664,0.00831471526724159,2.0,0.75,3,negative_ece_means_adaptive_improvement,1.0,False
