model,dataset,subset_name,pruner,retention,calibrator,n_samples,n_seeds,seeds,pruner_evidence_type,paper_eligible_all,accuracy_mean,accuracy_std,ece_mean,ece_std,delta_ece_mean,delta_ece_std,delta_ece_vs_raw_mean,delta_ece_vs_raw_std,aurc_mean,aurc_std,delta_aurc_vs_raw_mean,delta_aurc_vs_raw_std,max_softmax_mean_mean,max_softmax_mean_std
llava15_7b_4bit,pope,test,fastv,0.25,calibprune,512,3,"20260616,20260617,20260618",literature-hook,False,0.7994791666666666,0.01515683167555053,0.05848406360460138,0.018784616498560325,,,-0.027485483157389804,0.01952010973691512,0.09485866038821648,0.003926391047143809,-3.243766365288355e-05,3.2192655064116374e-05,0.8207800300769302,0.04226687300904376
llava15_7b_4bit,pope,test,fastv,0.25,none,512,3,"20260616,20260617,20260618",literature-hook,False,0.7994791666666666,0.01515683167555053,0.08596954676199119,0.0084512246887084,0.050378381773965385,0.012465108097619124,0.0,0.0,0.09489109805186936,0.003956978340602674,0.0,0.0,0.8760342042587976,0.0025499197208956295
llava15_7b_4bit,pope,test,fastv,0.25,temperature_scaling,512,3,"20260616,20260617,20260618",literature-hook,False,0.7994791666666666,0.01515683167555053,0.05670182950625915,0.006237119739988205,0.00641306028762962,0.01862086133479837,-0.02926771725573203,0.0038809736116101395,0.09489437880329919,0.0039503263067378995,3.2807514298201688e-06,2.4574497322332562e-05,0.8027592360661117,0.03581000960718431
llava15_7b_4bit,pope,test,fastv,0.5,calibprune,512,3,"20260616,20260617,20260618",literature-hook,False,0.8359375,0.017971580393023778,0.049987359849027996,0.0007771002542008127,,,-0.006458294876101567,0.0052463384375174985,0.0695123170534447,0.009376517739217485,1.2305360076593034e-05,8.979328665802507e-06,0.831725935501832,0.03136873197333393
llava15_7b_4bit,pope,test,fastv,0.5,none,512,3,"20260616,20260617,20260618",literature-hook,False,0.8359375,0.017971580393023778,0.05644565472512956,0.005748637687630355,0.02085448973710376,0.008342596869131932,0.0,0.0,0.06950001169336811,0.009372407171721801,0.0,0.0,0.8697586956495478,0.0021764373769491497
llava15_7b_4bit,pope,test,fastv,0.5,temperature_scaling,512,3,"20260616,20260617,20260618",literature-hook,False,0.8359375,0.017971580393023778,0.052005585391575675,0.008678779689353273,0.001716816172946142,0.008300779915804385,-0.004440069333553891,0.014154505161649582,0.06949651490260901,0.009363239983020707,-3.496790759098071e-06,1.0236292264641364e-05,0.8447834094310119,0.03062346265010159
llava15_7b_4bit,pope,test,fastv,0.75,calibprune,512,3,"20260616,20260617,20260618",literature-hook,False,0.845703125,0.018391206890397832,0.04678869118202056,0.008318586369474166,,,0.004530830937230214,0.012633961643218282,0.059713327273543,0.007174376713571133,1.0932935729480545e-05,1.246811507764805e-05,0.842735336632611,0.018337986940534113
llava15_7b_4bit,pope,test,fastv,0.75,none,512,3,"20260616,20260617,20260618",literature-hook,False,0.845703125,0.018391206890397832,0.04225786024479034,0.005727663278164815,0.0066666952567645404,0.01638733666117131,0.0,0.0,0.05970239433781351,0.007162248487810812,0.0,0.0,0.8628235097853576,0.004234577964540627
llava15_7b_4bit,pope,test,fastv,0.75,temperature_scaling,512,3,"20260616,20260617,20260618",literature-hook,False,0.845703125,0.018391206890397832,0.046876416058813854,0.011007195375216338,-0.0034123531598156723,0.003083326976050823,0.004618555814023514,0.013265140208654928,0.05971121687570705,0.007162826885398339,8.822537893538504e-06,1.224568892250273e-05,0.8632417441830404,0.02565444995724954
llava15_7b_4bit,pope,test,none,1.0,none,512,3,"20260616,20260617,20260618",unpruned,False,0.841796875,0.015378921628929319,0.0355911649880258,0.011329491839851071,0.0,0.0,0.0,0.0,0.060742677962365044,0.009508669373094126,0.0,0.0,0.861640973110552,0.003469988955767893
llava15_7b_4bit,pope,test,none,1.0,temperature_scaling,512,3,"20260616,20260617,20260618",unpruned,False,0.841796875,0.015378921628929319,0.050288769218629535,0.013611979972980902,0.0,0.0,0.014697604230603727,0.021826542850413046,0.06072283042653556,0.009516497653591994,-1.984753582947446e-05,9.552750474542144e-06,0.8646535839404011,0.03469905395084519
