model,dataset,subset_name,pruner,retention,calibrator,n_samples,n_seeds,seeds,accuracy_mean,accuracy_std,ece_mean,ece_std,delta_ece_mean,delta_ece_std,delta_ece_vs_raw_mean,delta_ece_vs_raw_std,aurc_mean,aurc_std,delta_aurc_vs_raw_mean,delta_aurc_vs_raw_std,max_softmax_mean_mean,max_softmax_mean_std
llava15_7b_4bit,pope,test,fastv,0.25,calibprune,512,1,20260616,0.798828125,0.0,0.03530680201599483,0.0,,,-0.04345604607439796,0.0,0.09185020814905294,0.0,-2.0990649338775702e-05,0.0,0.8201883374812824,0.0
llava15_7b_4bit,pope,test,fastv,0.25,none,512,1,20260616,0.798828125,0.0,0.07876284809039279,0.0,0.03297818979164667,0.0,0.0,0.0,0.09187119879839171,0.0,0.0,0.0,0.8761829759773752,0.0
llava15_7b_4bit,pope,test,fastv,0.25,temperature_scaling,512,1,20260616,0.798828125,0.0,0.04888181046788115,0.0,-0.007560255564997051,0.0,-0.02988103762251164,0.0,0.09185146772956782,0.0,-1.9731068823899967e-05,0.0,0.7898172505704455,0.0
llava15_7b_4bit,pope,test,fastv,0.5,calibprune,512,1,20260616,0.82421875,0.0,0.04911682294955598,0.0,,,-0.006524544754721993,0.0,0.059809670014278615,0.0,1.5742142478417098e-05,0.0,0.828084980149191,0.0
llava15_7b_4bit,pope,test,fastv,0.5,none,512,1,20260616,0.82421875,0.0,0.05564136770427797,0.0,0.009856709405531856,0.0,0.0,0.0,0.0597939278718002,0.0,0.0,0.0,0.8706876571821824,0.0
llava15_7b_4bit,pope,test,fastv,0.5,temperature_scaling,512,1,20260616,0.82421875,0.0,0.04839093567582741,0.0,-0.008051130357050788,0.0,-0.0072504320284505624,0.0,0.05979554148061372,0.0,1.6136088135249027e-06,0.0,0.8348718732949421,0.0
llava15_7b_4bit,pope,test,fastv,0.75,calibprune,512,1,20260616,0.837890625,0.0,0.05624803411679002,0.0,,,0.021763850037260217,0.0,0.053882410943609,0.0,4.418834841632413e-06,0.0,0.8325081510252501,0.0
llava15_7b_4bit,pope,test,fastv,0.75,none,512,1,20260616,0.837890625,0.0,0.0344841840795298,0.0,-0.011300474219216317,0.0,0.0,0.0,0.05387799210876737,0.0,0.0,0.0,0.8616739487006437,0.0
llava15_7b_4bit,pope,test,fastv,0.75,temperature_scaling,512,1,20260616,0.837890625,0.0,0.053790576893003095,0.0,-0.0026514891398751045,0.0,0.019306392813473294,0.0,0.053900506024118895,0.0,2.2513915351525526e-05,0.0,0.8542026298913368,0.0
llava15_7b_4bit,pope,test,none,1.0,none,512,1,20260616,0.833984375,0.0,0.04578465829874612,0.0,0.0,0.0,0.0,0.0,0.05570599242145122,0.0,0.0,0.0,0.8610258744481571,0.0
llava15_7b_4bit,pope,test,none,1.0,temperature_scaling,512,1,20260616,0.833984375,0.0,0.0564420660328782,0.0,0.0,0.0,0.010657407734132082,0.0,0.05567481728589935,0.0,-3.117513555186968e-05,0.0,0.85334077198511,0.0
llava15_7b_4bit,pope,test,random,0.5,none,512,1,20260616,0.822265625,0.0,0.06460377347595009,0.0,0.01881911517720397,0.0,0.0,0.0,0.055780694737094225,0.0,0.0,0.0,0.8606753138184087,0.0
llava15_7b_4bit,pope,test,random,0.5,temperature_scaling,512,1,20260616,0.822265625,0.0,0.07018202191284992,0.0,0.013739955879971719,0.0,0.00557824843689983,0.0,0.055803750083846644,0.0,2.3055346752419437e-05,0.0,0.853055352274501,0.0
llava15_7b_4bit,pope,test,uniform,0.5,none,512,1,20260616,0.833984375,0.0,0.045464767158130366,0.0,-0.0003198911406157509,0.0,0.0,0.0,0.05767213870815993,0.0,0.0,0.0,0.8638744191538088,0.0
llava15_7b_4bit,pope,test,uniform,0.5,temperature_scaling,512,1,20260616,0.833984375,0.0,0.045464767158130366,0.0,-0.010977298874747833,0.0,0.0,0.0,0.05767213870815993,0.0,0.0,0.0,0.8638744191538088,0.0
