model,dataset,subset_name,pruner,retention,calibrator,n_samples,n_seeds,seeds,pruner_evidence_type,paper_eligible_all,accuracy_mean,accuracy_std,ece_mean,ece_std,delta_ece_mean,delta_ece_std,delta_ece_vs_raw_mean,delta_ece_vs_raw_std,aurc_mean,aurc_std,delta_aurc_vs_raw_mean,delta_aurc_vs_raw_std,max_softmax_mean_mean,max_softmax_mean_std,pooled_samples,paper_gate_pass,paper_gate_reasons
llava15_7b_4bit,pope,test,fastv,0.25,calibprune,512,1,20260616,literature-hook,False,0.798828125,0.0,0.0353068020159948,0.0,,,-0.0434560460743979,0.0,0.0918502081490529,0.0,-2.0990649338775705e-05,0.0,0.8201883374812824,0.0,512,False,n_seeds=1<min_seeds=3; pooled_samples=512<min_pooled_samples=2000
llava15_7b_4bit,pope,test,fastv,0.25,none,512,1,20260616,literature-hook,False,0.798828125,0.0,0.0787628480903927,0.0,0.0329781897916466,0.0,0.0,0.0,0.0918711987983917,0.0,0.0,0.0,0.8761829759773752,0.0,512,False,n_seeds=1<min_seeds=3; pooled_samples=512<min_pooled_samples=2000
llava15_7b_4bit,pope,test,fastv,0.25,temperature_scaling,512,1,20260616,literature-hook,False,0.798828125,0.0,0.0488818104678811,0.0,-0.007560255564997,0.0,-0.0298810376225116,0.0,0.0918514677295678,0.0,-1.9731068823899967e-05,0.0,0.7898172505704455,0.0,512,False,n_seeds=1<min_seeds=3; pooled_samples=512<min_pooled_samples=2000
llava15_7b_4bit,pope,test,fastv,0.5,calibprune,512,1,20260616,literature-hook,False,0.82421875,0.0,0.0491168229495559,0.0,,,-0.0065245447547219,0.0,0.0598096700142786,0.0,1.5742142478417098e-05,0.0,0.828084980149191,0.0,512,False,n_seeds=1<min_seeds=3; pooled_samples=512<min_pooled_samples=2000
llava15_7b_4bit,pope,test,fastv,0.5,none,512,1,20260616,literature-hook,False,0.82421875,0.0,0.0556413677042779,0.0,0.0098567094055318,0.0,0.0,0.0,0.0597939278718002,0.0,0.0,0.0,0.8706876571821824,0.0,512,False,n_seeds=1<min_seeds=3; pooled_samples=512<min_pooled_samples=2000
llava15_7b_4bit,pope,test,fastv,0.5,temperature_scaling,512,1,20260616,literature-hook,False,0.82421875,0.0,0.0483909356758274,0.0,-0.0080511303570507,0.0,-0.0072504320284505,0.0,0.0597955414806137,0.0,1.6136088135249027e-06,0.0,0.8348718732949421,0.0,512,False,n_seeds=1<min_seeds=3; pooled_samples=512<min_pooled_samples=2000
llava15_7b_4bit,pope,test,fastv,0.75,calibprune,512,1,20260616,literature-hook,False,0.837890625,0.0,0.05624803411679,0.0,,,0.0217638500372602,0.0,0.053882410943609,0.0,4.418834841632413e-06,0.0,0.8325081510252501,0.0,512,False,n_seeds=1<min_seeds=3; pooled_samples=512<min_pooled_samples=2000
llava15_7b_4bit,pope,test,fastv,0.75,none,512,1,20260616,literature-hook,False,0.837890625,0.0,0.0344841840795298,0.0,-0.0113004742192163,0.0,0.0,0.0,0.0538779921087673,0.0,0.0,0.0,0.8616739487006437,0.0,512,False,n_seeds=1<min_seeds=3; pooled_samples=512<min_pooled_samples=2000
llava15_7b_4bit,pope,test,fastv,0.75,temperature_scaling,512,1,20260616,literature-hook,False,0.837890625,0.0,0.053790576893003,0.0,-0.0026514891398751,0.0,0.0193063928134732,0.0,0.0539005060241188,0.0,2.2513915351525526e-05,0.0,0.8542026298913368,0.0,512,False,n_seeds=1<min_seeds=3; pooled_samples=512<min_pooled_samples=2000
llava15_7b_4bit,pope,test,none,1.0,none,512,1,20260616,unpruned,False,0.833984375,0.0,0.0457846582987461,0.0,0.0,0.0,0.0,0.0,0.0557059924214512,0.0,0.0,0.0,0.8610258744481571,0.0,512,False,n_seeds=1<min_seeds=3; pooled_samples=512<min_pooled_samples=2000
llava15_7b_4bit,pope,test,none,1.0,temperature_scaling,512,1,20260616,unpruned,False,0.833984375,0.0,0.0564420660328782,0.0,0.0,0.0,0.010657407734132,0.0,0.0556748172858993,0.0,-3.117513555186968e-05,0.0,0.85334077198511,0.0,512,False,n_seeds=1<min_seeds=3; pooled_samples=512<min_pooled_samples=2000
