path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,pruner_evidence_type,sanity_only,paper_eligible_summary,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-fastv-r0.25-n128-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.25-n128-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.25,none,20260616,128,2a618e32394c7225,False,0.7890625,0.12999282487309258,0.12142975721930561,0.12993990825362609,0.8774889114796881,literature-hook,False,False,-0.078125,0.06484540448105865,0.03527495506569782,0.04813248421590252,0.012149846905958661,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-fastv-r0.5-n128-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.5-n128-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.5,none,20260616,128,2a618e32394c7225,False,0.8515625,0.04712065514393533,0.07050045897724264,0.08764749533964122,0.8780647732766291,literature-hook,False,False,-0.015625,-0.018026765248098597,-0.01565434317636516,0.00584007130191766,0.012725708702899685,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-fastv-r0.75-n128-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.75-n128-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.75,none,20260616,128,2a618e32394c7225,False,0.875,0.03756890502624411,0.06261187655662417,0.07426126759545165,0.8647907463233016,literature-hook,False,False,0.0078125,-0.02757851536578982,-0.02354292559698362,-0.007546156442271912,-0.0005483182504278927,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-none-r1-n128-seed20260616.json,llava15_7b_4bit-pope-cal-none-r1-n128-seed20260616,llava15_7b_4bit,pope,cal,none,1.0,none,20260616,128,2a618e32394c7225,False,0.8671875,0.06514742039203393,0.0861548021536078,0.08180742403772356,0.8653390645737294,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-visionzip-r0.25-n128-seed20260616.json,llava15_7b_4bit-pope-cal-visionzip-r0.25-n128-seed20260616,llava15_7b_4bit,pope,cal,visionzip,0.25,none,20260616,128,2a618e32394c7225,False,0.84375,0.0463789576053162,0.08695577224337224,0.08181778562599758,0.8579778091302124,literature-hook,False,False,-0.0234375,-0.018768462786717732,0.000800970089764444,1.0361588274013234e-05,-0.007361255443517067,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-visionzip-r0.5-n128-seed20260616.json,llava15_7b_4bit-pope-cal-visionzip-r0.5-n128-seed20260616,llava15_7b_4bit,pope,cal,visionzip,0.5,none,20260616,128,2a618e32394c7225,False,0.8671875,0.06120206350189522,0.08660131892490525,0.0629671306375099,0.8704562660412201,literature-hook,False,False,0.0,-0.00394535689013871,0.0004465167712974505,-0.018840293400213662,0.0051172014674906174,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-visionzip-r0.75-n128-seed20260616.json,llava15_7b_4bit-pope-cal-visionzip-r0.75-n128-seed20260616,llava15_7b_4bit,pope,cal,visionzip,0.75,none,20260616,128,2a618e32394c7225,False,0.8671875,0.08360396889149757,0.1093821450634901,0.07279120968671621,0.8630789470995556,literature-hook,False,False,0.0,0.01845654849946364,0.023227342909882306,-0.009016214351007357,-0.0022601174741738728,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_visionzip_calibrated\llava_pope_128_512_fastv_calibprune_r025.json,llava_pope_128_512_fastv_calibprune_r025,llava15_7b_4bit,pope,test,fastv,0.25,calibprune,20260616,512,67b1fde61ceba78c,False,0.798828125,0.03530680201599483,0.04355813994271773,0.09185020814905294,0.8201883374812824,literature-hook,False,False,,,,,,0.0,-0.04345604607439796,-0.03760903839792644,-2.0990649338775702e-05,-0.05599463849609276
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-test-fastv-r0.25-n512-seed20260616.json,llava15_7b_4bit-pope-test-fastv-r0.25-n512-seed20260616,llava15_7b_4bit,pope,test,fastv,0.25,none,20260616,512,67b1fde61ceba78c,False,0.798828125,0.07876284809039279,0.08116717834064417,0.09187119879839171,0.8761829759773752,literature-hook,False,False,-0.03515625,0.03297818979164667,0.018142442240797044,0.0361652063769405,0.015157101529218009,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_visionzip_calibrated\llava_pope_128_512_fastv_temp_r025.json,llava_pope_128_512_fastv_temp_r025,llava15_7b_4bit,pope,test,fastv,0.25,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.798828125,0.04888181046788115,0.049027726022139735,0.09185146772956782,0.7898172505704455,literature-hook,False,False,-0.03515625,-0.007560255564997051,-0.012216101688652767,0.03617665044366847,-0.06352352141466455,0.0,-0.02988103762251164,-0.03213945231850444,-1.9731068823899967e-05,-0.08636572540692966
