path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/pope_lite_llava_128_512_seed20260617\llava15_7b_4bit-pope-cal-fastv-r0.25-n128-seed20260617.json,llava15_7b_4bit-pope-cal-fastv-r0.25-n128-seed20260617,llava15_7b_4bit,pope,cal,fastv,0.25,none,20260617,128,7da1d9a2b7b3f266,False,0.8828125,0.04067919952420078,0.07581416324139484,0.0527658572021235,0.8958443307517803,-0.0234375,-0.02710043430531299,0.022264832106444497,0.03661462220622866,0.02810537429199078,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_seed20260617\llava15_7b_4bit-pope-cal-fastv-r0.5-n128-seed20260617.json,llava15_7b_4bit-pope-cal-fastv-r0.5-n128-seed20260617,llava15_7b_4bit,pope,cal,fastv,0.5,none,20260617,128,7da1d9a2b7b3f266,False,0.9140625,0.035727271336057645,0.08169258387173102,0.0300561959557255,0.8983630895600458,0.0078125,-0.032052362493456124,0.02814325273678068,0.013904960959830657,0.030624133100256357,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_seed20260617\llava15_7b_4bit-pope-cal-fastv-r0.75-n128-seed20260617.json,llava15_7b_4bit-pope-cal-fastv-r0.75-n128-seed20260617,llava15_7b_4bit,pope,cal,fastv,0.75,none,20260617,128,7da1d9a2b7b3f266,False,0.921875,0.059607780066060996,0.07196135584230715,0.017366788606786303,0.8839527510715343,0.015625,-0.008171853763452773,0.018412024707356804,0.00121555361089146,0.01621379461174477,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_seed20260617\llava15_7b_4bit-pope-cal-feature_norm-r0.5-n128-seed20260617.json,llava15_7b_4bit-pope-cal-feature_norm-r0.5-n128-seed20260617,llava15_7b_4bit,pope,cal,feature_norm,0.5,none,20260617,128,7da1d9a2b7b3f266,False,0.8828125,0.0675985545465585,0.05916841886061715,0.024214366560531574,0.8688751767827245,-0.0234375,-0.00018107928295527098,0.005619087725666806,0.008063131564636731,0.0011362203229350332,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_seed20260617\llava15_7b_4bit-pope-cal-none-r1-n128-seed20260617.json,llava15_7b_4bit-pope-cal-none-r1-n128-seed20260617,llava15_7b_4bit,pope,cal,none,1.0,none,20260617,128,7da1d9a2b7b3f266,False,0.90625,0.06777963382951377,0.05354933113495034,0.016151234995894843,0.8677389564597895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_seed20260617\llava_fastv_calibprune_r025_n512_seed20260617.json,,llava15_7b_4bit,pope,test,fastv,0.25,calibprune,20260617,512,a3fefcb17ad6ab3e,False,0.818359375,0.08131563149011684,0.07376300042747189,0.09232101425274856,0.872839476093554,,,,,,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_seed20260617\llava15_7b_4bit-pope-test-fastv-r0.25-n512-seed20260617.json,llava15_7b_4bit-pope-test-fastv-r0.25-n512-seed20260617,llava15_7b_4bit,pope,test,fastv,0.25,none,20260617,512,a3fefcb17ad6ab3e,False,0.818359375,0.08131563149011684,0.07376300042747189,0.09232101425274856,0.872839476093554,-0.044921875,0.061526613599148974,0.03643017202605795,0.03985795809394192,0.006674619313025709,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_seed20260617\llava_fastv_temp_r025_n512_seed20260617.json,,llava15_7b_4bit,pope,test,fastv,0.25,temperature_scaling,20260617,512,a3fefcb17ad6ab3e,False,0.818359375,0.057078006735146306,0.06053809428706457,0.09235835531463923,0.8516320441132031,,,,,,0.0,-0.02423762475497053,-0.01322490614040732,3.7341061890669436e-05,-0.0212074319803508
results/raw/pope_lite_llava_128_512_seed20260617\llava_fastv_calibprune_r05_n512_seed20260617.json,,llava15_7b_4bit,pope,test,fastv,0.5,calibprune,20260617,512,a3fefcb17ad6ab3e,False,0.861328125,0.04984172268025813,0.06684493213212872,0.06653595843232919,0.8718354925809321,,,,,,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512_seed20260617\llava15_7b_4bit-pope-test-fastv-r0.5-n512-seed20260617.json,llava15_7b_4bit-pope-test-fastv-r0.5-n512-seed20260617,llava15_7b_4bit,pope,test,fastv,0.5,none,20260617,512,a3fefcb17ad6ab3e,False,0.861328125,0.04984172268025813,0.06684493213212872,0.06653595843232919,0.8718354925809321,-0.001953125,0.03005270478929027,0.029512103730714785,0.01407290227352255,0.005670635800403834,0.0,0.0,0.0,0.0,0.0
