path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-fastv-r0.25-n128-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.25-n128-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.25,none,20260616,128,2a618e32394c7225,False,0.7890625,0.12999282487309258,0.12142975721930561,0.12993990825362609,0.8774889114796881,-0.078125,0.06484540448105865,0.03527495506569782,0.04813248421590252,0.012149846905958661,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-fastv-r0.5-n128-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.5-n128-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.5,none,20260616,128,2a618e32394c7225,False,0.8515625,0.04712065514393533,0.07050045897724264,0.08764749533964122,0.8780647732766291,-0.015625,-0.018026765248098597,-0.01565434317636516,0.00584007130191766,0.012725708702899685,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-fastv-r0.75-n128-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.75-n128-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.75,none,20260616,128,2a618e32394c7225,False,0.875,0.03756890502624411,0.06261187655662417,0.07426126759545165,0.8647907463233016,0.0078125,-0.02757851536578982,-0.02354292559698362,-0.007546156442271912,-0.0005483182504278927,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-feature_norm-r0.5-n128-seed20260616.json,llava15_7b_4bit-pope-cal-feature_norm-r0.5-n128-seed20260616,llava15_7b_4bit,pope,cal,feature_norm,0.5,none,20260616,128,2a618e32394c7225,False,0.859375,0.0872174291022886,0.08680218389772379,0.07649380559241184,0.8563188930137813,-0.0078125,0.022070008710254663,0.0006473817441159935,-0.005313618445311724,-0.009020171559948165,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-none-r1-n128-seed20260616.json,llava15_7b_4bit-pope-cal-none-r1-n128-seed20260616,llava15_7b_4bit,pope,cal,none,1.0,none,20260616,128,2a618e32394c7225,False,0.8671875,0.06514742039203393,0.0861548021536078,0.08180742403772356,0.8653390645737294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-random-r0.5-n128-seed20260616.json,llava15_7b_4bit-pope-cal-random-r0.5-n128-seed20260616,llava15_7b_4bit,pope,cal,random,0.5,none,20260616,128,2a618e32394c7225,False,0.8671875,0.07680388262930121,0.08273280784398895,0.06501940879795341,0.8666460031198098,0.0,0.011656462237267282,-0.003421994309618842,-0.01678801523977015,0.0013069385460803273,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-cal-uniform-r0.5-n128-seed20260616.json,llava15_7b_4bit-pope-cal-uniform-r0.5-n128-seed20260616,llava15_7b_4bit,pope,cal,uniform,0.5,none,20260616,128,2a618e32394c7225,False,0.875,0.054587069371909464,0.076224907561359,0.06761725451805964,0.8634932313275294,0.0078125,-0.010560351020124467,-0.0099298945922488,-0.014190169519663925,-0.0018458332462000238,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava_fastv_calibprune_r025_n512.json,,llava15_7b_4bit,pope,test,fastv,0.25,calibprune,20260616,512,67b1fde61ceba78c,False,0.798828125,0.03530680201599483,0.04355813994271773,0.09185020814905294,0.8201883374812824,,,,,,0.0,-0.04345604607439796,-0.03760903839792644,-2.0990649338775702e-05,-0.05599463849609276
results/raw/pope_lite_llava_128_512\llava15_7b_4bit-pope-test-fastv-r0.25-n512-seed20260616.json,llava15_7b_4bit-pope-test-fastv-r0.25-n512-seed20260616,llava15_7b_4bit,pope,test,fastv,0.25,none,20260616,512,67b1fde61ceba78c,False,0.798828125,0.07876284809039279,0.08116717834064417,0.09187119879839171,0.8761829759773752,-0.03515625,0.03297818979164667,0.018142442240797044,0.0361652063769405,0.015157101529218009,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_128_512\llava_fastv_temp_r025_n512.json,,llava15_7b_4bit,pope,test,fastv,0.25,temperature_scaling,20260616,512,67b1fde61ceba78c,False,0.798828125,0.04888181046788115,0.049027726022139735,0.09185146772956782,0.7898172505704455,-0.03515625,-0.007560255564997051,-0.012216101688652767,0.03617665044366847,-0.06352352141466455,0.0,-0.02988103762251164,-0.03213945231850444,-1.9731068823899967e-05,-0.08636572540692966
