model,dataset,subset_name,pruner,retention,calibrator,n_samples,n_seeds,seeds,accuracy_mean,accuracy_std,ece_mean,ece_std,delta_ece_mean,delta_ece_std,delta_ece_vs_raw_mean,delta_ece_vs_raw_std,aurc_mean,aurc_std,delta_aurc_vs_raw_mean,delta_aurc_vs_raw_std,max_softmax_mean_mean,max_softmax_mean_std
llava15_7b_4bit,pope,test,fastv,0.25,calibprune,256,2,"20260616,20260617",0.78515625,0.015625,0.054411946316047635,0.002802368879929816,,,-0.02966281736674916,0.009364721923055472,0.11135375642681092,0.008060372234498542,8.806067319656885e-06,8.806067319656885e-06,0.8143022201489946,0.005034893362620418
llava15_7b_4bit,pope,test,fastv,0.25,none,256,2,"20260616,20260617",0.78515625,0.015625,0.08407476368279679,0.012167090802985284,0.03943489777048601,0.003757231145345992,0.0,0.0,0.11134495035949127,0.008069178301818195,0.0,0.0,0.8637644126452947,0.006576348079412875
llava15_7b_4bit,pope,test,fastv,0.5,calibprune,256,2,"20260616,20260617",0.826171875,0.029296875,0.05407703154533294,0.009800657306389191,,,-0.014178959142483228,0.002647841565763639,0.0725659729187497,0.004428800009513803,-8.206407563021711e-06,8.206407563021711e-06,0.8211222816963984,0.011449308641840017
llava15_7b_4bit,pope,test,fastv,0.5,none,256,2,"20260616,20260617",0.826171875,0.029296875,0.06825599068781618,0.012448498872152835,0.02361612477550539,0.0034758230761784484,0.0,0.0,0.07257417932631272,0.004420593601950781,0.0,0.0,0.8594282912566862,0.008056800286757121
llava15_7b_4bit,pope,test,fastv,0.5,temperature_scaling,256,1,20260616,0.796875,0.0,0.08587409348666952,0.0,0.01141124300746399,0.0,0.005169603926700517,0.0,0.06815358572436193,0.0,0.0,0.0,0.7908781750438938,0.0
llava15_7b_4bit,pope,test,fastv,0.75,calibprune,256,2,"20260616,20260617",0.841796875,0.029296875,0.048524763200180246,0.008250044230669051,,,0.005541649868101503,0.001202856748248056,0.05461154978163339,0.0031008957265973164,0.0,0.0,0.8272783925770819,0.020299253895292274
llava15_7b_4bit,pope,test,fastv,0.75,none,256,2,"20260616,20260617",0.841796875,0.029296875,0.04298311333207874,0.007047187482420995,-0.0016567525802320404,0.008877134465910284,0.0,0.0,0.05461154978163339,0.0031008957265973164,0.0,0.0,0.8542323880511664,0.011663442369669985
llava15_7b_4bit,pope,test,none,1.0,none,256,2,"20260616,20260617",0.837890625,0.025390625,0.04463986591231078,0.01592432194833128,0.0,0.0,0.0,0.0,0.053789514812304616,0.003647938106292929,0.0,0.0,0.8544870960094793,0.010711542654757933
llava15_7b_4bit,pope,test,none,1.0,temperature_scaling,256,1,20260616,0.8125,0.0,0.07446285047920553,0.0,0.0,0.0,0.01389866261856347,0.0,0.05740717191084561,0.0,-3.0281007751938038e-05,0.0,0.7938677975122836,0.0
llava15_7b_4bit,pope,test,random,0.5,none,256,1,20260616,0.79296875,0.0,0.08479583175815354,0.0,0.02423164389751148,0.0,0.0,0.0,0.05996187303715178,0.0,0.0,0.0,0.8449238999177167,0.0
llava15_7b_4bit,pope,test,random,0.5,temperature_scaling,256,1,20260616,0.79296875,0.0,0.06737684132887088,0.0,-0.007086009150334652,0.0,-0.01741899042928266,0.0,0.059938482318588907,0.0,-2.3390718562874002e-05,0.0,0.8017349977948234,0.0
llava15_7b_4bit,pope,test,uniform,0.5,none,256,1,20260616,0.81640625,0.0,0.046459873972379516,0.0,-0.014104313888262547,0.0,0.0,0.0,0.05918872315152753,0.0,0.0,0.0,0.847083729568744,0.0
llava15_7b_4bit,pope,test,uniform,0.5,temperature_scaling,256,1,20260616,0.81640625,0.0,0.04869714755699597,0.0,-0.02576570292220956,0.0,0.0022372735846164574,0.0,0.05912551836958986,0.0,-6.32047819376716e-05,0.0,0.8107362616063148,0.0
