path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,pruner_evidence_type,accuracy,ece,adaptive_ece,aurc,aurc_margin,aurc_entropy,max_softmax_mean,sanity_only,paper_eligible_summary,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_aurc_margin,delta_aurc_entropy,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_aurc_margin_vs_raw,delta_aurc_entropy_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/pope_lite_llava_midlayer_sota_1_704_seed20260616\llava15_7b_4bit-pope-cal-fastv-r0.5-n1-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.5-n1-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.5,none,20260616,1,4fc82b26aecb47d2,True,literature-hook,1.0,0.1666754046879767,0.1666754046879767,0.0,0.0,0.0,0.8333245953120233,False,True,0.0,0.018628206656287283,0.018628206656287283,0.0,0.0,0.0,-0.018628206656287283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_midlayer_sota_1_704_seed20260617\llava15_7b_4bit-pope-cal-fastv-r0.5-n1-seed20260617.json,llava15_7b_4bit-pope-cal-fastv-r0.5-n1-seed20260617,llava15_7b_4bit,pope,cal,fastv,0.5,none,20260617,1,5e387e075b1e55bb,True,literature-hook,1.0,0.28776781576105304,0.28776781576105304,0.0,0.0,0.0,0.712232184238947,False,True,0.0,-0.2005155795347816,-0.2005155795347816,0.0,0.0,0.0,0.2005155795347816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_midlayer_sota_1_704_seed20260618\llava15_7b_4bit-pope-cal-fastv-r0.5-n1-seed20260618.json,llava15_7b_4bit-pope-cal-fastv-r0.5-n1-seed20260618,llava15_7b_4bit,pope,cal,fastv,0.5,none,20260618,1,abba884411e3b916,True,literature-hook,1.0,0.4571367168274948,0.4571367168274948,0.0,0.0,0.0,0.5428632831725052,False,True,0.0,0.32773398523585584,0.32773398523585584,0.0,0.0,0.0,-0.32773398523585584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_midlayer_sota_1_704_seed20260616\llava15_7b_4bit-pope-cal-none-r1-n1-seed20260616.json,llava15_7b_4bit-pope-cal-none-r1-n1-seed20260616,llava15_7b_4bit,pope,cal,none,1.0,none,20260616,1,4fc82b26aecb47d2,True,unpruned,1.0,0.14804719803168942,0.14804719803168942,0.0,0.0,0.0,0.8519528019683106,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_midlayer_sota_1_704_seed20260617\llava15_7b_4bit-pope-cal-none-r1-n1-seed20260617.json,llava15_7b_4bit-pope-cal-none-r1-n1-seed20260617,llava15_7b_4bit,pope,cal,none,1.0,none,20260617,1,5e387e075b1e55bb,True,unpruned,1.0,0.48828339529583464,0.48828339529583464,0.0,0.0,0.0,0.5117166047041654,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_midlayer_sota_1_704_seed20260618\llava15_7b_4bit-pope-cal-none-r1-n1-seed20260618.json,llava15_7b_4bit-pope-cal-none-r1-n1-seed20260618,llava15_7b_4bit,pope,cal,none,1.0,none,20260618,1,abba884411e3b916,True,unpruned,1.0,0.12940273159163895,0.12940273159163895,0.0,0.0,0.0,0.870597268408361,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_midlayer_sota_1_704_seed20260616\llava15_7b_4bit-pope-cal-pyramiddrop-r0.5-n1-seed20260616.json,llava15_7b_4bit-pope-cal-pyramiddrop-r0.5-n1-seed20260616,llava15_7b_4bit,pope,cal,pyramiddrop,0.5,none,20260616,1,4fc82b26aecb47d2,True,literature-midlayer-hook,1.0,0.14804719803168942,0.14804719803168942,0.0,0.0,0.0,0.8519528019683106,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_midlayer_sota_1_704_seed20260617\llava15_7b_4bit-pope-cal-pyramiddrop-r0.5-n1-seed20260617.json,llava15_7b_4bit-pope-cal-pyramiddrop-r0.5-n1-seed20260617,llava15_7b_4bit,pope,cal,pyramiddrop,0.5,none,20260617,1,5e387e075b1e55bb,True,literature-midlayer-hook,1.0,0.4804786780479071,0.4804786780479071,0.0,0.0,0.0,0.5195213219520929,False,True,0.0,-0.007804717247927528,-0.007804717247927528,0.0,0.0,0.0,0.007804717247927528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_midlayer_sota_1_704_seed20260618\llava15_7b_4bit-pope-cal-pyramiddrop-r0.5-n1-seed20260618.json,llava15_7b_4bit-pope-cal-pyramiddrop-r0.5-n1-seed20260618,llava15_7b_4bit,pope,cal,pyramiddrop,0.5,none,20260618,1,abba884411e3b916,True,literature-midlayer-hook,1.0,0.12940273159163895,0.12940273159163895,0.0,0.0,0.0,0.870597268408361,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_midlayer_sota_1_704_seed20260616\llava15_7b_4bit-pope-cal-sparsevlm-r0.5-n1-seed20260616.json,llava15_7b_4bit-pope-cal-sparsevlm-r0.5-n1-seed20260616,llava15_7b_4bit,pope,cal,sparsevlm,0.5,none,20260616,1,4fc82b26aecb47d2,True,literature-midlayer-hook,1.0,0.14223189500989641,0.14223189500989641,0.0,0.0,0.0,0.8577681049901036,False,True,0.0,-0.005815303021793006,-0.005815303021793006,0.0,0.0,0.0,0.005815303021793006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
