path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,pruner_evidence_type,accuracy,ece,adaptive_ece,aurc,aurc_margin,aurc_entropy,max_softmax_mean,sanity_only,paper_eligible_summary,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_aurc_margin,delta_aurc_entropy,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_aurc_margin_vs_raw,delta_aurc_entropy_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/pope_lite_llava_sparse_vtw_layer8_1_705_seed20260616\llava15_7b_4bit-pope-cal-none-r1-n1-seed20260616.json,llava15_7b_4bit-pope-cal-none-r1-n1-seed20260616,llava15_7b_4bit,pope,cal,none,1.0,none,20260616,1,4fc82b26aecb47d2,True,unpruned,1.0,0.14804719803168942,0.14804719803168942,0.0,0.0,0.0,0.8519528019683106,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_sparse_vtw_layer8_1_705_seed20260617\llava15_7b_4bit-pope-cal-none-r1-n1-seed20260617.json,llava15_7b_4bit-pope-cal-none-r1-n1-seed20260617,llava15_7b_4bit,pope,cal,none,1.0,none,20260617,1,5e387e075b1e55bb,True,unpruned,1.0,0.48828339529583464,0.48828339529583464,0.0,0.0,0.0,0.5117166047041654,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_sparse_vtw_layer8_1_705_seed20260618\llava15_7b_4bit-pope-cal-none-r1-n1-seed20260618.json,llava15_7b_4bit-pope-cal-none-r1-n1-seed20260618,llava15_7b_4bit,pope,cal,none,1.0,none,20260618,1,abba884411e3b916,True,unpruned,1.0,0.12940273159163895,0.12940273159163895,0.0,0.0,0.0,0.870597268408361,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_sparse_vtw_layer8_1_705_seed20260616\llava15_7b_4bit-pope-cal-sparsevlm-r0.5-n1-seed20260616.json,llava15_7b_4bit-pope-cal-sparsevlm-r0.5-n1-seed20260616,llava15_7b_4bit,pope,cal,sparsevlm,0.5,none,20260616,1,4fc82b26aecb47d2,True,literature-midlayer-hook,1.0,0.14223189500989641,0.14223189500989641,0.0,0.0,0.0,0.8577681049901036,False,True,0.0,-0.005815303021793006,-0.005815303021793006,0.0,0.0,0.0,0.005815303021793006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_sparse_vtw_layer8_1_705_seed20260617\llava15_7b_4bit-pope-cal-sparsevlm-r0.5-n1-seed20260617.json,llava15_7b_4bit-pope-cal-sparsevlm-r0.5-n1-seed20260617,llava15_7b_4bit,pope,cal,sparsevlm,0.5,none,20260617,1,5e387e075b1e55bb,True,literature-midlayer-hook,0.0,0.5195213219520929,0.5195213219520929,1.0,1.0,1.0,0.5195213219520929,False,True,-1.0,0.03123792665625824,0.03123792665625824,1.0,1.0,1.0,0.007804717247927528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_sparse_vtw_layer8_1_705_seed20260618\llava15_7b_4bit-pope-cal-sparsevlm-r0.5-n1-seed20260618.json,llava15_7b_4bit-pope-cal-sparsevlm-r0.5-n1-seed20260618,llava15_7b_4bit,pope,cal,sparsevlm,0.5,none,20260618,1,abba884411e3b916,True,literature-midlayer-hook,1.0,0.13660839002621938,0.13660839002621938,0.0,0.0,0.0,0.8633916099737806,False,True,0.0,0.007205658434580431,0.007205658434580431,0.0,0.0,0.0,-0.007205658434580431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_sparse_vtw_layer8_1_705_seed20260616\llava15_7b_4bit-pope-cal-vtw-r0.5-n1-seed20260616.json,llava15_7b_4bit-pope-cal-vtw-r0.5-n1-seed20260616,llava15_7b_4bit,pope,cal,vtw,0.5,none,20260616,1,4fc82b26aecb47d2,True,literature-midlayer-hook,1.0,0.13296424019782938,0.13296424019782938,0.0,0.0,0.0,0.8670357598021706,False,True,0.0,-0.015082957833860045,-0.015082957833860045,0.0,0.0,0.0,0.015082957833860045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_sparse_vtw_layer8_1_705_seed20260617\llava15_7b_4bit-pope-cal-vtw-r0.5-n1-seed20260617.json,llava15_7b_4bit-pope-cal-vtw-r0.5-n1-seed20260617,llava15_7b_4bit,pope,cal,vtw,0.5,none,20260617,1,5e387e075b1e55bb,True,literature-midlayer-hook,0.0,0.5195213219520929,0.5195213219520929,1.0,1.0,1.0,0.5195213219520929,False,True,-1.0,0.03123792665625824,0.03123792665625824,1.0,1.0,1.0,0.007804717247927528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_sparse_vtw_layer8_1_705_seed20260618\llava15_7b_4bit-pope-cal-vtw-r0.5-n1-seed20260618.json,llava15_7b_4bit-pope-cal-vtw-r0.5-n1-seed20260618,llava15_7b_4bit,pope,cal,vtw,0.5,none,20260618,1,abba884411e3b916,True,literature-midlayer-hook,1.0,0.14033624949008328,0.14033624949008328,0.0,0.0,0.0,0.8596637505099167,False,True,0.0,0.010933517898444323,0.010933517898444323,0.0,0.0,0.0,-0.010933517898444323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_sparse_vtw_layer8_1_705_seed20260616\llava15_7b_4bit-pope-test-none-r1-n705-seed20260616.json,llava15_7b_4bit-pope-test-none-r1-n705-seed20260616,llava15_7b_4bit,pope,test,none,1.0,none,20260616,705,c6d9b91e785e2e36,True,unpruned,0.8439716312056738,0.0347935861589127,0.04459864583472783,0.061928002187613886,0.061928002187613886,0.061928002187613886,0.862722416879933,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
