path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,pruner_evidence_type,sanity_only,paper_eligible_summary,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-cal-fastv-r0.25-n8-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.25-n8-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.25,none,20260616,8,51dd8e92b5484fd8,False,0.75,0.271128695192929,0.27112869519292904,0.07217261904761904,0.8619954387619821,literature-hook,False,False,-0.25,0.12505827960256877,0.12505827960256885,0.07217261904761904,0.008065854352342305,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-cal-fastv-r0.5-n8-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.5-n8-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.5,none,20260616,8,51dd8e92b5484fd8,False,1.0,0.13878087702496522,0.13878087702496517,0.0,0.8612191229750348,literature-hook,False,False,0.0,-0.007289538565394993,-0.007289538565395021,0.0,0.007289538565394937,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-cal-fastv-r0.75-n8-seed20260616.json,llava15_7b_4bit-pope-cal-fastv-r0.75-n8-seed20260616,llava15_7b_4bit,pope,cal,fastv,0.75,none,20260616,8,51dd8e92b5484fd8,False,1.0,0.14710562327119825,0.1471056232711983,0.0,0.8528943767288018,literature-hook,False,False,0.0,0.001035207680838035,0.0010352076808381183,0.0,-0.0010352076808380906,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-cal-none-r1-n8-seed20260616.json,llava15_7b_4bit-pope-cal-none-r1-n8-seed20260616,llava15_7b_4bit,pope,cal,none,1.0,none,20260616,8,51dd8e92b5484fd8,False,1.0,0.14607041559036021,0.1460704155903602,0.0,0.8539295844096398,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-cal-visionzip-r0.25-n8-seed20260616.json,llava15_7b_4bit-pope-cal-visionzip-r0.25-n8-seed20260616,llava15_7b_4bit,pope,cal,visionzip,0.25,none,20260616,8,51dd8e92b5484fd8,False,0.875,0.16358587262637808,0.16358587262637814,0.0078125,0.842269690398571,literature-hook,False,False,-0.125,0.017515457036017867,0.01751545703601795,0.0078125,-0.011659894011068817,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-cal-visionzip-r0.5-n8-seed20260616.json,llava15_7b_4bit-pope-cal-visionzip-r0.5-n8-seed20260616,llava15_7b_4bit,pope,cal,visionzip,0.5,none,20260616,8,51dd8e92b5484fd8,False,1.0,0.12789353025383127,0.12789353025383127,0.0,0.8721064697461688,literature-hook,False,False,0.0,-0.018176885336528947,-0.01817688533652892,0.0,0.018176885336528947,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-cal-visionzip-r0.75-n8-seed20260616.json,llava15_7b_4bit-pope-cal-visionzip-r0.75-n8-seed20260616,llava15_7b_4bit,pope,cal,visionzip,0.75,none,20260616,8,51dd8e92b5484fd8,False,1.0,0.1459274532045141,0.1459274532045141,0.0,0.8540725467954858,literature-hook,False,False,0.0,-0.00014296238584610155,-0.0001429623858460738,0.0,0.00014296238584599053,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_fastv_calibprune_r025_n16.json,,llava15_7b_4bit,pope,test,fastv,0.25,calibprune,20260616,16,482969eb8a530008,False,0.8125,0.15495894782602798,0.25183660387194656,0.10350010232822732,0.8882025979567059,literature-hook,False,False,,,,,,0.0,0.028374409738854772,-0.012309786732106365,0.0,0.02232993751731427
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-test-fastv-r0.25-n16-seed20260616.json,llava15_7b_4bit-pope-test-fastv-r0.25-n16-seed20260616,llava15_7b_4bit,pope,test,fastv,0.25,none,20260616,16,482969eb8a530008,False,0.8125,0.1265845380871732,0.2641463906040529,0.10350010232822732,0.8658726604393916,literature-hook,False,False,0.0,-0.045769933537025215,0.00011964238986528208,0.02235004578754579,0.0038019198526366704,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_fastv_temp_r025_n16.json,,llava15_7b_4bit,pope,test,fastv,0.25,temperature_scaling,20260616,16,482969eb8a530008,False,0.8125,0.11764394376962553,0.29248816163366953,0.10350010232822732,0.8170891170330092,literature-hook,False,False,0.0,-0.06540300396486035,0.08312926968105958,0.02235004578754579,-0.14633488656157367,0.0,-0.008940594317547679,0.028341771029616603,0.0,-0.04878354340638236
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_fastv_calibprune_r05_n16.json,,llava15_7b_4bit,pope,test,fastv,0.5,calibprune,20260616,16,482969eb8a530008,False,0.75,0.23464561687790364,0.24649121580805639,0.1484080155955156,0.8806583015147114,literature-hook,False,False,,,,,,0.0,0.07864487506639956,-0.010740088101319267,0.0,0.028141466121195613
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-test-fastv-r0.5-n16-seed20260616.json,llava15_7b_4bit-pope-test-fastv-r0.5-n16-seed20260616,llava15_7b_4bit,pope,test,fastv,0.5,none,20260616,16,482969eb8a530008,False,0.75,0.15600074181150408,0.25723130390937565,0.1484080155955156,0.8525168353935157,literature-hook,False,False,-0.0625,-0.01635372981269434,-0.006795444304811993,0.06725795905483409,-0.009553905193239176,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_fastv_temp_r05_n16.json,,llava15_7b_4bit,pope,test,fastv,0.5,temperature_scaling,20260616,16,482969eb8a530008,False,0.75,0.20858137644606498,0.22627923752442958,0.1484080155955156,0.9459714188537828,literature-hook,False,False,-0.0625,0.0255344287115791,0.016920345571819623,0.06725795905483409,-0.017452584740800137,0.0,0.05258063463456089,-0.030952066384946075,0.0,0.09345458346026703
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_fastv_calibprune_r075_n16.json,,llava15_7b_4bit,pope,test,fastv,0.75,calibprune,20260616,16,482969eb8a530008,False,0.8125,0.1521469217627257,0.2025459917789039,0.06880042700355202,0.8971173079573349,literature-hook,False,False,,,,,,0.0,0.03334238391487697,-0.015748471950483456,0.0,0.035191297876910665
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-test-fastv-r0.75-n16-seed20260616.json,llava15_7b_4bit-pope-test-fastv-r0.75-n16-seed20260616,llava15_7b_4bit,pope,test,fastv,0.75,none,20260616,16,482969eb8a530008,False,0.8125,0.11880453784784874,0.21829446372938735,0.06880042700355202,0.8619260100804242,literature-hook,False,False,0.0,-0.05354993377634969,-0.045732284484800295,-0.012349629537129508,-0.0001447305063306814,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_fastv_temp_r075_n16.json,,llava15_7b_4bit,pope,test,fastv,0.75,temperature_scaling,20260616,16,482969eb8a530008,False,0.8125,0.17638272945152683,0.18176805987349334,0.06880042700355202,0.9630207386176972,literature-hook,False,False,0.0,-0.006664218282959045,-0.02759083207911661,-0.012349629537129508,-0.00040326497688569773,0.0,0.057578191603678094,-0.03652640385589401,0.0,0.10109472853727297
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-test-none-r1-n16-seed20260616.json,llava15_7b_4bit-pope-test-none-r1-n16-seed20260616,llava15_7b_4bit,pope,test,none,1.0,none,20260616,16,482969eb8a530008,False,0.8125,0.17235447162419842,0.26402674821418765,0.08115005654068153,0.8620707405867549,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_none_temp_n16.json,,llava15_7b_4bit,pope,test,none,1.0,temperature_scaling,20260616,16,482969eb8a530008,False,0.8125,0.18304694773448588,0.20935889195260995,0.08115005654068153,0.9634240035945829,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.010692476110287452,-0.05466785626157769,0.0,0.10135326300782799
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_visionzip_calibprune_r025_n16.json,,llava15_7b_4bit,pope,test,visionzip,0.25,calibprune,20260616,16,482969eb8a530008,False,0.75,0.2078975685301837,0.23135791133976752,0.09027465589965589,0.8687566228789722,literature-hook,False,False,,,,,,0.0,0.04092328305667392,-0.014239599195898983,0.0,0.03742799917247053
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-test-visionzip-r0.25-n16-seed20260616.json,llava15_7b_4bit-pope-test-visionzip-r0.25-n16-seed20260616,llava15_7b_4bit,pope,test,visionzip,0.25,none,20260616,16,482969eb8a530008,False,0.75,0.1669742854735098,0.2455975105356665,0.09027465589965589,0.8313286237065016,literature-hook,False,False,-0.0625,-0.005380186150688637,-0.018429237678521143,0.009124599358974361,-0.0307421168802533,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_visionzip_temp_r025_n16.json,,llava15_7b_4bit,pope,test,visionzip,0.25,temperature_scaling,20260616,16,482969eb8a530008,False,0.75,0.2388851653076819,0.217234410473281,0.09027465589965589,0.9283371784011454,literature-hook,False,False,-0.0625,0.055838217573196014,0.007875518520671032,0.009124599358974361,-0.03508682519343753,0.0,0.0719108798341721,-0.028363100062385516,0.0,0.09700855469464376
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_visionzip_calibprune_r05_n16.json,,llava15_7b_4bit,pope,test,visionzip,0.5,calibprune,20260616,16,482969eb8a530008,False,0.8125,0.15895573863089968,0.24771613445908366,0.08259236423298924,0.8834241758304666,literature-hook,False,False,,,,,,0.0,0.0008670856727256704,-0.0231277776183563,0.0,0.04131907910122978
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-test-visionzip-r0.5-n16-seed20260616.json,llava15_7b_4bit-pope-test-visionzip-r0.5-n16-seed20260616,llava15_7b_4bit,pope,test,visionzip,0.5,none,20260616,16,482969eb8a530008,False,0.8125,0.158088652958174,0.27084391207743996,0.08259236423298924,0.8421050967292368,literature-hook,False,False,0.0,-0.014265818666024416,0.006817163863252318,0.001442307692307715,-0.01996564385751809,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_visionzip_temp_r05_n16.json,,llava15_7b_4bit,pope,test,visionzip,0.5,temperature_scaling,20260616,16,482969eb8a530008,False,0.8125,0.1594268270676885,0.21299014815581627,0.08259236423298924,0.9513621381219883,literature-hook,False,False,0.0,-0.02362012066679739,0.0036312562032063123,0.001442307692307715,-0.01206186547259458,0.0,0.0013381741095144783,-0.057853763921623697,0.0,0.1092570413927515
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_visionzip_calibprune_r075_n16.json,,llava15_7b_4bit,pope,test,visionzip,0.75,calibprune,20260616,16,482969eb8a530008,False,0.8125,0.14075373627270193,0.2424733377228952,0.09789112796925295,0.8999961155291492,literature-hook,False,False,,,,,,0.0,0.013095790186871736,-0.023056626479212472,0.0,0.04103195379528857
results/raw/pope_lite_llava_visionzip_8_16\llava15_7b_4bit-pope-test-visionzip-r0.75-n16-seed20260616.json,llava15_7b_4bit-pope-test-visionzip-r0.75-n16-seed20260616,llava15_7b_4bit,pope,test,visionzip,0.75,none,20260616,16,482969eb8a530008,False,0.8125,0.1276579460858302,0.26552996420210767,0.09789112796925295,0.8589641617338606,literature-hook,False,False,0.0,-0.044696525538368226,0.0015032159879200258,0.016741071428571425,-0.0031065788528943372,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_llava_visionzip_8_16\llava_pope_visionzip_temp_r075_n16.json,,llava15_7b_4bit,pope,test,visionzip,0.75,temperature_scaling,20260616,16,482969eb8a530008,False,0.8125,0.18686132792921462,0.20853864671993927,0.09789112796925295,0.9635085133527332,literature-hook,False,False,0.0,0.0038143801947287392,-0.0008202452326706855,0.016741071428571425,8.450975815033068e-05,0.0,0.05920338184338442,-0.0569913174821684,0.0,0.10454435161887266
