path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,aurc_margin,aurc_entropy,max_softmax_mean,pruner_evidence_type,sanity_only,paper_eligible_summary,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_aurc_margin,delta_aurc_entropy,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_aurc_margin_vs_raw,delta_aurc_entropy_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/pope_lite_qwen2vl_2b_fastv_128_512\qwen2vl_2b-pope-cal-fastv-r0.5-n128-seed20260616.json,qwen2vl_2b-pope-cal-fastv-r0.5-n128-seed20260616,qwen2vl_2b,pope,cal,fastv,0.5,none,20260616,128,2a618e32394c7225,False,0.5703125,0.09985860989008748,0.13005235479555743,0.40283712676770517,0.40283712676770517,0.40283712676770517,0.6361098413866875,literature-hook,False,False,0.1015625,-0.0866576330547753,-0.052977185713198094,-0.05015871318343812,-0.05015871318343812,-0.05015871318343812,-0.008996751644455903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_qwen2vl_2b_fastv_128_512_seed20260617\qwen2vl_2b-pope-cal-fastv-r0.5-n128-seed20260617.json,qwen2vl_2b-pope-cal-fastv-r0.5-n128-seed20260617,qwen2vl_2b,pope,cal,fastv,0.5,none,20260617,128,7da1d9a2b7b3f266,False,0.4921875,0.15846585113548087,0.17734114201550805,0.5168903295249317,0.5168903295249317,0.5168903295249317,0.6486314334543615,literature-hook,False,False,0.078125,-0.08844231408321646,-0.09146703494859182,-0.07369036147473507,-0.07369036147473507,-0.07369036147473507,-0.012339231764335823,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_qwen2vl_2b_fastv_128_512_seed20260618\qwen2vl_2b-pope-cal-fastv-r0.5-n128-seed20260618.json,qwen2vl_2b-pope-cal-fastv-r0.5-n128-seed20260618,qwen2vl_2b,pope,cal,fastv,0.5,none,20260618,128,25a51fedf5c4206a,False,0.46875,0.20407586461965205,0.25188187999000256,0.5625500754936298,0.5625500754936298,0.5625500754936298,0.6407527279922623,literature-hook,False,False,0.015625,-0.013981579718412684,-0.0011114372627827884,-0.07006607094183481,-0.07006607094183481,-0.07006607094183481,-0.024507534054535873,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_qwen2vl_2b_fastv_128_512\qwen2vl_2b-pope-cal-none-r1-n128-seed20260616.json,qwen2vl_2b-pope-cal-none-r1-n128-seed20260616,qwen2vl_2b,pope,cal,none,1.0,none,20260616,128,2a618e32394c7225,False,0.46875,0.18651624294486277,0.18302954050875553,0.4529958399511433,0.4529958399511433,0.4529958399511433,0.6451065930311434,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_qwen2vl_2b_fastv_128_512_seed20260617\qwen2vl_2b-pope-cal-none-r1-n128-seed20260617.json,qwen2vl_2b-pope-cal-none-r1-n128-seed20260617,qwen2vl_2b,pope,cal,none,1.0,none,20260617,128,7da1d9a2b7b3f266,False,0.4140625,0.24690816521869732,0.26880817696409987,0.5905806909996668,0.5905806909996668,0.5905806909996668,0.6609706652186973,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_qwen2vl_2b_fastv_128_512_seed20260618\qwen2vl_2b-pope-cal-none-r1-n128-seed20260618.json,qwen2vl_2b-pope-cal-none-r1-n128-seed20260618,qwen2vl_2b,pope,cal,none,1.0,none,20260618,128,25a51fedf5c4206a,False,0.453125,0.21805744433806473,0.25299331725278534,0.6326161464354646,0.6326161464354646,0.6326161464354646,0.6652602620467982,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_qwen2vl_2b_fastv_128_512\qwen2vl_2b-pope-test-fastv-r0.5-n512-seed20260616.json,qwen2vl_2b-pope-test-fastv-r0.5-n512-seed20260616,qwen2vl_2b,pope,test,fastv,0.5,none,20260616,512,67b1fde61ceba78c,False,0.501953125,0.13645572547776252,0.14801406525516192,0.5015464025665226,0.5015464025665226,0.5015464025665226,0.6384088504777625,literature-hook,False,False,-0.013671875,0.0011037951094996223,0.0062378974469260995,0.048554337438416306,0.048554337438416306,0.048554337438416306,-0.011678768187731059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_qwen2vl_2b_fastv_128_512_seed20260617\qwen2vl_2b-pope-test-fastv-r0.5-n512-seed20260617.json,qwen2vl_2b-pope-test-fastv-r0.5-n512-seed20260617,qwen2vl_2b,pope,test,fastv,0.5,none,20260617,512,a3fefcb17ad6ab3e,False,0.5234375,0.1094808115529854,0.11520511273051837,0.4549556550699091,0.4549556550699091,0.4549556550699091,0.6329183115529854,literature-hook,False,False,0.017578125,-0.050200861390187715,-0.044258975409934065,-0.014033701545120736,-0.014033701545120736,-0.014033701545120736,-0.01830783000605596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_qwen2vl_2b_fastv_128_512_seed20260618\qwen2vl_2b-pope-test-fastv-r0.5-n512-seed20260618.json,qwen2vl_2b-pope-test-fastv-r0.5-n512-seed20260618,qwen2vl_2b,pope,test,fastv,0.5,none,20260618,512,561565a242561ad7,False,0.515625,0.12976627794951912,0.14236256122519933,0.4808286688213237,0.4808286688213237,0.4808286688213237,0.6453912779495191,literature-hook,False,False,0.033203125,-0.04193136148726728,-0.03058202445143063,-0.035556136127619764,-0.035556136127619764,-0.035556136127619764,-0.008728236487267282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_qwen2vl_2b_fastv_128_512\qwen2vl_2b-pope-test-none-r1-n512-seed20260616.json,qwen2vl_2b-pope-test-none-r1-n512-seed20260616,qwen2vl_2b,pope,test,none,1.0,none,20260616,512,67b1fde61ceba78c,False,0.515625,0.1353519303682629,0.14177616780823582,0.4529920651281063,0.4529920651281063,0.4529920651281063,0.6500876186654936,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_qwen2vl_2b_fastv_128_512_seed20260617\qwen2vl_2b-pope-test-none-r1-n512-seed20260617.json,qwen2vl_2b-pope-test-none-r1-n512-seed20260617,qwen2vl_2b,pope,test,none,1.0,none,20260617,512,a3fefcb17ad6ab3e,False,0.505859375,0.15968167294317312,0.15946408814045243,0.46898935661502983,0.46898935661502983,0.46898935661502983,0.6512261415590413,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/pope_lite_qwen2vl_2b_fastv_128_512_seed20260618\qwen2vl_2b-pope-test-none-r1-n512-seed20260618.json,qwen2vl_2b-pope-test-none-r1-n512-seed20260618,qwen2vl_2b,pope,test,none,1.0,none,20260618,512,561565a242561ad7,False,0.482421875,0.1716976394367864,0.17294458567662996,0.5163848049489435,0.5163848049489435,0.5163848049489435,0.6541195144367864,unpruned,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
