backbone,dataset,condition,residual,delta_ece,delta_aurc
LLaVA,POPE,FastV r=.75,0.139255,0.0066667,-0.0010403
LLaVA,POPE,FastV r=.5,0.266669,0.0208545,0.0087573
LLaVA,POPE,FastV r=.25,0.423521,0.0503784,0.0341484
LLaVA,POPE,SparseVLM r=.5,0.0503699,0.005,-0.0027
LLaVA,POPE,VTW r=.5,0.0540707,0.0015,-0.0028
LLaVA,A-OKVQA,FastV r=.5,0.1718739,-0.00393735,-0.0016008
Qwen2-VL,ScienceQA,FastV r=.75,1.986e-09,0.0739503,0.0238928
Qwen2-VL,ScienceQA,FastV r=.5,1.926e-09,0.0718456,0.0259591
Qwen2-VL,ScienceQA,FastV r=.25,1.845e-09,0.0562922,0.0194389
Qwen2-VL,A-OKVQA,FastV r=.75 full,0.5808,0.0713392,-0.0634623
Qwen2-VL,A-OKVQA,FastV r=.5 full,0.56036165,0.06306129,-0.06066789
Qwen2-VL,A-OKVQA,FastV r=.25 full,0.5092,0.0453863,-0.0568494
Qwen2-VL,POPE,FastV r=.5,0.8657,-0.034,-0.0048
