comparison,metric,estimate,ci_low,ci_high,n_samples,n_resamples,confidence,seed_delta_mean,seed_delta_bca_ci_low,seed_delta_bca_ci_high,wilcoxon_statistic,wilcoxon_p,wilcoxon_n,interpretation,wilcoxon_holm_p,wilcoxon_holm_reject
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),accuracy,0.0,0.0,0.0,768,1000,0.95,0.0,0.0,0.0,0.0,1.0,0,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),ece,0.01954656330453862,-0.02607213875127391,0.04537844485313383,768,1000,0.95,0.018888575808524627,-0.024756340266892857,0.04910371910238249,2.0,0.75,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),adaptive_ece,0.03670541277525553,-0.01555969651886991,0.053186699604322735,768,1000,0.95,0.0115655412329484,-0.02455124171868954,0.03950873311106939,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),aurc,0.018815332245388422,0.00780123777808092,0.030443881665049157,768,1000,0.95,0.015396540264365053,-0.001856927029432548,0.028014096573608815,1.0,0.5,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.25),max_softmax_mean,-0.0619362479023583,-0.06853177887815642,-0.05544853055960475,768,1000,0.95,-0.061936247902358264,-0.10483741318610984,-0.035672453769900914,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),accuracy,0.0,0.0,0.0,768,1000,0.95,0.0,0.0,0.0,0.0,1.0,0,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),ece,0.00031617294896552767,-0.03337433284566512,0.022751698808036656,768,1000,0.95,0.006354887532110322,-0.019376282263861427,0.027511589705941086,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),adaptive_ece,-0.001051654615118497,-0.02685821175562217,0.03315775262052677,768,1000,0.95,0.00933892256084399,-0.020121077947238025,0.034766545025928415,3.0,1.0,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),aurc,0.01651947586898264,0.00557251892536789,0.02723120521019587,768,1000,0.95,0.015233810304906309,-0.003131201909717385,0.029398252652608592,1.0,0.5,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.5),max_softmax_mean,-0.026006858126697785,-0.03221840304006745,-0.020196390608448366,768,1000,0.95,-0.026006858126697712,-0.06567672649759637,-0.0034441553795082993,1.0,0.5,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),accuracy,0.0,0.0,0.0,768,1000,0.95,0.0,0.0,0.0,0.0,1.0,0,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),ece,0.017284824543821936,-0.009526825833949941,0.043576609762123464,768,1000,0.95,0.03767634683776324,0.0034658666777494795,0.05627601226773565,0.0,0.25,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),adaptive_ece,0.009129179990362848,-0.0159527873529291,0.04089411288956643,768,1000,0.95,0.021727886572454266,-0.009748812722058353,0.04159498232387245,1.0,0.5,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),aurc,0.019760657503091722,0.010240674459719872,0.029292814908097844,768,1000,0.95,0.009785297408289623,-0.004772342307051536,0.02121037227585046,2.0,0.75,3,negative_ece_means_adaptive_improvement,1.0,False
AdaptiveCalibPrune - temperature scaling (fastv r=0.75),max_softmax_mean,0.01795956481027494,0.012433386437321194,0.023675640539670233,768,1000,0.95,0.01795956481027498,-0.02022559889729192,0.04307627938675085,2.0,0.75,3,negative_ece_means_adaptive_improvement,1.0,False
