path,run_id,model,dataset,subset_name,pruner,retention,calibrator,seed,n_samples,sample_indices_hash,paper_eligible,accuracy,ece,adaptive_ece,aurc,max_softmax_mean,delta_accuracy,delta_ece,delta_adaptive_ece,delta_aurc,delta_max_softmax_mean,delta_accuracy_vs_raw,delta_ece_vs_raw,delta_adaptive_ece_vs_raw,delta_aurc_vs_raw,delta_max_softmax_mean_vs_raw
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava15_7b_4bit-scienceqa-cal-fastv-r0.25-n128-seed20260617.json,llava15_7b_4bit-scienceqa-cal-fastv-r0.25-n128-seed20260617,llava15_7b_4bit,scienceqa,cal,fastv,0.25,none,20260617,128,189c97791bac5080,False,0.625,0.16724059425951193,0.1696047411276999,0.16461891700161238,0.786130773104226,0.0,-0.011212948706386672,-0.003106133257281374,-0.0006815200468356652,-0.0012276266839426064,0.0,0.0,0.0,0.0,0.0
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava15_7b_4bit-scienceqa-cal-fastv-r0.5-n128-seed20260617.json,llava15_7b_4bit-scienceqa-cal-fastv-r0.5-n128-seed20260617,llava15_7b_4bit,scienceqa,cal,fastv,0.5,none,20260617,128,189c97791bac5080,False,0.640625,0.1453080017247329,0.15609853283691855,0.1699649923132579,0.785933001724733,0.015625,-0.0331455412411657,-0.016612341548062737,0.004664555264809855,-0.0014253980634355568,0.0,0.0,0.0,0.0,0.0
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava15_7b_4bit-scienceqa-cal-fastv-r0.75-n128-seed20260617.json,llava15_7b_4bit-scienceqa-cal-fastv-r0.75-n128-seed20260617,llava15_7b_4bit,scienceqa,cal,fastv,0.75,none,20260617,128,189c97791bac5080,False,0.640625,0.1449499345034838,0.1603507317316191,0.16463541485951413,0.7846070941689371,0.015625,-0.03350360846241479,-0.012360142653362188,-0.0006650221889339114,-0.0027513056192314256,0.0,0.0,0.0,0.0,0.0
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava15_7b_4bit-scienceqa-cal-none-r1-n128-seed20260617.json,llava15_7b_4bit-scienceqa-cal-none-r1-n128-seed20260617,llava15_7b_4bit,scienceqa,cal,none,1.0,none,20260617,128,189c97791bac5080,False,0.625,0.1784535429658986,0.17271087438498128,0.16530043704844805,0.7873583997881686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava_scienceqa_fastv_calibprune_r025_n256_seed20260617.json,,llava15_7b_4bit,scienceqa,test,fastv,0.25,calibprune,20260617,256,af57a90bccd3a57f,False,0.64453125,0.1254038144430102,0.1332494242057404,0.17267576233664883,0.5779893799671035,,,,,,0.0,-0.01647125538616301,-0.003348751613154566,0.00440254035524737,-0.1889927905078571
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava15_7b_4bit-scienceqa-test-fastv-r0.25-n256-seed20260617.json,llava15_7b_4bit-scienceqa-test-fastv-r0.25-n256-seed20260617,llava15_7b_4bit,scienceqa,test,fastv,0.25,none,20260617,256,af57a90bccd3a57f,False,0.64453125,0.1418750698291732,0.13659817581889497,0.16827322198140146,0.7669821704749606,0.01953125,-0.027227841075273207,-0.024939542584064528,-0.011565795137477186,-0.00594654987494736,0.0,0.0,0.0,0.0,0.0
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava_scienceqa_fastv_temp_r025_n256_seed20260617.json,,llava15_7b_4bit,scienceqa,test,fastv,0.25,temperature_scaling,20260617,256,af57a90bccd3a57f,False,0.64453125,0.06404652998927997,0.08495420979916629,0.16747283801968502,0.6455587296819543,0.01953125,-0.003274228609416771,-0.005701001918616236,-0.01589630431904851,-0.005230898502571524,0.0,-0.07782853983989323,-0.051643966019728677,-0.0008003839617164443,-0.12142344079300638
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava_scienceqa_fastv_calibprune_r05_n256_seed20260617.json,,llava15_7b_4bit,scienceqa,test,fastv,0.5,calibprune,20260617,256,af57a90bccd3a57f,False,0.61328125,0.10856156255489237,0.1019028836754366,0.17801567399783838,0.6092591906601532,,,,,,0.0,-0.050767517624408384,-0.0545652973004454,0.007989729103013155,-0.15977718134068042
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava15_7b_4bit-scienceqa-test-fastv-r0.5-n256-seed20260617.json,llava15_7b_4bit-scienceqa-test-fastv-r0.5-n256-seed20260617,llava15_7b_4bit,scienceqa,test,fastv,0.5,none,20260617,256,af57a90bccd3a57f,False,0.61328125,0.15932908017930075,0.156468180975882,0.17002594489482523,0.7690363720008336,-0.01171875,-0.009773830725145649,-0.005069537427077497,-0.00981307222405342,-0.0038923483490743704,0.0,0.0,0.0,0.0,0.0
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava_scienceqa_fastv_temp_r05_n256_seed20260617.json,,llava15_7b_4bit,scienceqa,test,fastv,0.5,temperature_scaling,20260617,256,af57a90bccd3a57f,False,0.61328125,0.09221251561308444,0.09841806716497277,0.17427062340751903,0.6418750736967898,-0.01171875,0.0248917570143877,0.007762855447190242,-0.009098518931214494,-0.008914554487736037,0.0,-0.06711656456621631,-0.05805011381090923,0.004244678512693806,-0.12716129830404388
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava_scienceqa_fastv_calibprune_r075_n256_seed20260617.json,,llava15_7b_4bit,scienceqa,test,fastv,0.75,calibprune,20260617,256,af57a90bccd3a57f,False,0.609375,0.06992858383848106,0.08976015205723392,0.18486832562258818,0.6449430805753725,,,,,,0.0,-0.08989539687472255,-0.07083227218434435,0.005501502529426799,-0.12425590013783105
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava15_7b_4bit-scienceqa-test-fastv-r0.75-n256-seed20260617.json,llava15_7b_4bit-scienceqa-test-fastv-r0.75-n256-seed20260617,llava15_7b_4bit,scienceqa,test,fastv,0.75,none,20260617,256,af57a90bccd3a57f,False,0.609375,0.1598239807132036,0.16059242424157827,0.17936682309316138,0.7691989807132036,-0.015625,-0.00927893019124279,-0.0009452941613812271,-0.00047219402571727076,-0.003729739636704421,0.0,0.0,0.0,0.0,0.0
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava_scienceqa_fastv_temp_r075_n256_seed20260617.json,,llava15_7b_4bit,scienceqa,test,fastv,0.75,temperature_scaling,20260617,256,af57a90bccd3a57f,False,0.609375,0.07228597935141362,0.09077011565520948,0.1844865896333775,0.6479599805887807,-0.015625,0.004965220752716881,0.00011490393742695504,0.0011174472946439695,-0.0028296475957451106,0.0,-0.08753800136178999,-0.06982230858636879,0.00511976654021612,-0.1212390001244229
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava15_7b_4bit-scienceqa-test-none-r1-n256-seed20260617.json,llava15_7b_4bit-scienceqa-test-none-r1-n256-seed20260617,llava15_7b_4bit,scienceqa,test,none,1.0,none,20260617,256,af57a90bccd3a57f,False,0.625,0.1691029109044464,0.1615377184029595,0.17983901711887865,0.772928720349908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
results/raw/scienceqa_lite_llava_128_256_seed20260617\llava_scienceqa_none_temp_n256_seed20260617.json,,llava15_7b_4bit,scienceqa,test,none,1.0,temperature_scaling,20260617,256,af57a90bccd3a57f,False,0.625,0.06732075859869674,0.09065521171778253,0.18336914233873353,0.6507896281845258,0.0,0.0,0.0,0.0,0.0,0.0,-0.10178215230574966,-0.07088250668517697,0.0035301252198548794,-0.12213909216538221
